word,positive_count,negative_count,part_of_speech
survived,3,31,VBN
confused,1,31,VBN
add,10,31,VB
worrying,5,30,VBG
posted,4,30,VBN
intended,2,30,VBN
ongoing,4,30,VBG
emptied,0,30,VBN
recording,3,30,VBG
compared,2,30,VBN
remaining,3,30,VBG
believed,5,30,VBN
kicked,2,30,VBN
protecting,5,29,VBG
threatened,5,29,VBN
knocked,2,29,VBN
sanitized,4,29,VBN
violated,1,29,VBN
covering,2,29,VBG
responded,1,29,VBD
delivered,3,29,VBN
turning,3,29,VBG
grew,7,29,VBD
picking,4,29,VBG
pushed,5,29,VBN
appreciated,12,29,VBN
covered,6,28,VBN
fixed,0,28,VBN
carrying,6,28,VBG
segregated,1,28,VBN
killing,7,28,VBG
touched,4,28,VBN
socalled,0,28,VBN
preexisting,2,28,VBG
stopping,1,28,VBG
separating,1,28,VBG
trapped,7,28,VBN
amazing,12,28,VBG
waited,2,28,VBD
expected,7,27,VBN
facing,11,27,VBG
finished,12,27,VBN
submitted,0,27,VBN
cutting,2,27,VBG
prevented,1,27,VBN
suspended,2,27,VBN
ged,4,27,VBN
paroled,1,27,VBN
subjected,0,27,VBN
handed,6,27,VBN
distanced,2,27,VBN
isolating,3,26,VBG
notified,1,26,VBN
faced,3,26,VBN
raised,13,26,VBN
crowded,3,26,VBN
rolled,0,26,VBN
trained,3,26,VBN
yelling,0,26,VBG
challenging,3,25,VBG
denying,1,25,VBG
appear,3,25,VB
cared,2,25,VBN
drawing,9,25,VBG
connected,8,25,VBN
charged,6,24,VBN
answered,2,24,VBN
complained,2,24,VBD
falling,4,24,VBG
increased,2,24,VBN
contacted,0,24,VBN
depending,1,24,VBG
arriving,0,24,VBG
seeking,8,24,VBG
shutting,3,24,VBG
pulling,1,23,VBG
interacting,3,23,VBG
entering,3,23,VBG
shuffled,2,23,VBN
answering,5,23,VBG
completed,4,23,VBN
frustrated,2,23,VBN
acting,1,23,VBG
issuing,2,23,VBG
stepped,5,23,VBD
kicking,1,22,VBG
shipped,2,22,VBN
named,8,22,VBN
shown,2,22,VBN
extended,5,22,VBN
attempting,3,22,VBG
escorted,1,22,VBN
rolling,2,22,VBG
backed,2,22,VBD
slammed,1,21,VBN
expressed,7,21,VBN
requesting,2,21,VBG
addressed,3,21,VBN
maintaining,3,21,VBG
remained,2,21,VBD
pending,2,21,VBG
appeared,4,21,VBD
saved,4,21,VBN
enrolled,4,21,VBN
disinfecting,2,21,VBG
pertaining,6,21,VBG
monitored,0,21,VBD
resulting,1,21,VBG
qualify,0,21,VB
admitted,3,20,VBN
sentencing,3,20,VBG
educated,2,20,VBN
instructed,0,20,VBN
begun,3,20,VBN
threatening,3,20,VBG
disinfected,4,20,VBN
pissed,0,20,VBN
violating,0,20,VBG
replaced,1,20,VBN
accepting,2,20,VBG
resulted,4,20,VBD
blamed,1,20,VBN
assaulted,1,20,VBN
practicing,3,20,VBG
screaming,1,20,VBG
washed,4,20,VBN
expecting,0,19,VBG
entered,3,19,VBN
hospitalized,3,19,VBN
promised,2,19,VBN
rehabilitated,1,19,VBN
processed,6,19,VBN
responding,0,19,VBG
obtain,6,19,VB
committing,1,19,VBG
opposed,1,19,VBN
apologize,4,19,VB
assume,2,19,VB
awaiting,4,19,VBG
troubling,3,19,VBG
tied,3,19,VBN
transporting,1,19,VBG
sneezing,2,18,VBG
stressing,3,18,VBG
afforded,1,18,VBD
apply,1,18,VB
occupied,3,18,VBN
rehoused,2,18,VBN
rising,1,18,VBG
collecting,5,18,VBG
applied,3,18,VBN
faces,4,18,VBZ
introduced,2,18,VBN
graduated,6,18,VBN
devastating,2,18,VBG
advised,2,18,VBN
continuing,3,18,VBG
excited,7,18,VBN
showering,0,18,VBG
surviving,5,18,VBG
celled,1,17,VBN
attached,1,17,VBN
explaining,5,17,VBG
canceled,1,17,VBN
equipped,0,17,VBN
blaming,0,17,VBG
sanitizing,4,17,VBG
slowed,4,17,VBD
supplied,2,17,VBN
shaking,4,17,VBG
searching,3,17,VBG
hitting,4,17,VBG
lied,1,17,VBN
relocated,0,17,VBN
published,6,17,VBN
sucked,2,17,VBN
recommended,3,17,VBN
encouraging,3,17,VBG
dated,2,16,VBN
switched,1,16,VBN
requires,3,16,VBZ
classified,0,16,VBN
improve,4,16,VB
tripping,2,16,VBG
replace,3,16,VB
spraying,1,16,VBG
combined,2,16,VBN
fucked,2,16,VBN
kidding,2,16,VBG
falsified,1,16,VBN
warning,6,16,VBG
terrified,7,16,VBN
distributed,3,16,VBN
struggled,3,16,VBN
appears,3,16,VBZ
failing,1,16,VBG
thanksgiving,4,16,VBG
shocked,2,16,VBN
alleged,0,16,VBN
saving,5,16,VBG
attending,5,16,VBG
encouraged,4,16,VBN
damaged,1,16,VBN
claiming,0,16,VBG
heartbreaking,4,15,VBG
recognize,1,15,VB
compromised,2,15,VBN
acted,2,15,VBN
believes,4,15,VBZ
participating,1,15,VBG
feared,2,15,VBN
believing,3,15,VBG
gained,1,15,VBN
preparing,1,15,VBG
stripped,2,15,VBD
dropping,1,15,VBG
surrounded,3,15,VBD
complicated,2,15,VBN
neglected,1,15,VBN
wasted,2,15,VBN
dismissed,4,15,VBN
handing,2,15,VBG
lacking,1,15,VBG
searched,4,15,VBN
provides,1,14,VBZ
realizing,0,14,VBG
acquired,0,14,VBN
directed,1,14,VBN
traveled,2,14,VBD
wished,2,14,VBN
rehabilitating,4,14,VBG
agreed,5,14,VBD
existed,1,14,VBN
requiring,0,14,VBG
minimize,1,14,VB
suggested,1,14,VBN
watered,3,14,VBD
recycled,1,14,VBN
qualified,4,14,VBN
shuffling,1,14,VBG
noted,1,14,VBN
administering,0,14,VBG
rushed,1,14,VBN
referred,2,14,VBN
confusing,5,14,VBG
stabbing,1,14,VBG
preventing,1,14,VBG
caged,2,14,VBN
communicating,1,14,VBG
associated,1,14,VBN
presented,2,14,VBN
pressing,0,14,VBG
shed,3,14,VBN
produced,3,14,VBN
earned,4,14,VBN
effected,2,14,VBN
certified,1,14,VBN
ending,4,13,VBG
returning,2,13,VBG
pointed,0,13,VBN
expired,0,13,VBD
loving,13,13,VBG
demanded,2,13,VBD
accustomed,4,13,VBN
disgusting,0,13,VBG
sounding,2,13,VBG
includes,1,13,VBZ
determined,4,13,VBN
establish,3,13,VB
spelling,0,13,VBG
sued,0,13,VBN
flooded,2,13,VBN
attended,5,13,VBD
compelled,1,13,VBN
visited,1,13,VBN
occurring,2,13,VBG
condemned,1,13,VBN
reducing,2,13,VBG
deemed,2,13,VBN
develop,4,13,VB
eaten,0,13,VB
messing,2,13,VBG
secluded,0,13,VBD
stacked,2,13,VBN
enjoyed,8,13,VBN
documented,1,13,VBN
surrounding,1,13,VBG
contacting,0,13,VBG
lasting,5,13,VBG
screening,1,13,VBG
explained,5,13,VBD
containing,0,12,VBG
laying,3,12,VBG
socialize,2,12,VB
labeled,3,12,VBN
sweating,0,12,VBG
attacking,3,12,VBG
endured,6,12,VBN
acknowledged,1,12,VBD
announced,4,12,VBD
registered,0,12,VBN
enduring,1,12,VBG
expressing,2,12,VBG
listed,1,12,VBN
wiped,1,12,VBD
discharged,0,12,VBN
revolving,0,12,VBG
guessing,3,12,VBG
lingering,1,12,VBG
disheartening,1,12,VBG
frightening,2,12,VBG
vomiting,0,12,VBG
booking,1,12,VBG
entitled,1,12,VBN
waking,1,12,VBG
stolen,1,12,VBN
adopted,1,12,VBN
retested,0,12,VBN
pursuing,3,12,VBG
referring,4,12,VBG
questioned,2,12,VBN
administered,3,12,VBN
headed,3,11,VBN
assuming,3,11,VBG
noninfected,0,11,VBN
questioning,2,11,VBG
permitted,1,11,VBN
leading,5,11,VBG
carries,1,11,VBZ
choosing,2,11,VBG
defeated,1,11,VBN
packing,0,11,VBG
raped,1,11,VBD
detected,1,11,VBN
bunked,2,11,VBN
endorsed,1,11,VBN
incoming,0,11,VBG
installed,1,11,VBN
existing,0,11,VBG
identify,3,11,VB
imagined,3,11,VBN
avoided,2,11,VBD
fired,2,11,VBN
adds,2,11,VBZ
booked,1,11,VBN
knocking,2,11,VBG
healing,3,11,VBG
crossed,2,11,VBN
conducting,0,11,VBG
exploded,0,11,VBD
panicking,1,11,VBG
consumed,1,11,VBN
begging,0,11,VBG
driving,0,10,VBG
donated,1,10,VBN
bothered,1,10,VBN
dragged,1,10,VBD
counted,0,10,VBN
escaping,0,10,VBG
evaluated,1,10,VBN
appointed,0,10,VBN
controlled,0,10,VBN
mailing,1,10,VBG
screened,0,10,VBN
medicated,1,10,VBN
wasting,0,10,VBG
transmitted,0,10,VBN
swabbing,2,10,VBG
printed,1,10,VBN
unsuspecting,0,10,VBG
rotating,0,10,VBG
wondered,2,10,VBD
identified,3,10,VBN
cried,2,10,VBN
diluted,0,10,VBN
damaging,1,10,VBG
inquiring,0,10,VBG
grabbing,0,10,VBG
worsened,1,10,VBN
approached,1,10,VBN
bothering,2,10,VBG
alarming,2,10,VBG
installing,1,10,VBG
yelled,1,10,VBN
focusing,5,10,VBG
upsetting,0,10,VBG
med,0,10,VBN
raining,1,10,VBG
suppressed,1,10,VBN
aforementioned,0,10,VBN
reacted,0,10,VBN
follows,4,10,VBZ
plagued,1,10,VBN
pointing,2,10,VBG
sealed,3,10,VBN
mishandled,1,10,VBN
paroling,0,10,VBG
accused,2,10,VBN
targeted,0,10,VBN
earning,1,10,VBG
volunteered,2,10,VBN
masking,0,9,VBG
infested,0,9,VBN
planned,2,9,VBN
devastated,2,9,VBN
shocking,3,9,VBG
comprised,0,9,VBN
removing,1,9,VBG
demanding,1,9,VBG
updated,0,9,VBN
liked,6,9,VBN
honored,2,9,VBN
sewing,0,9,VBG
ranking,0,9,VBG
transported,0,9,VBN
laughed,1,9,VBN
lacked,1,9,VBN
allotted,0,9,VBN
settle,1,9,VB
functioning,0,9,VBG
settled,0,9,VBN
charging,2,9,VBG
painted,0,9,VBN
abandoned,1,9,VBN
bouncing,1,9,VBG
winded,0,9,VBD
retaliated,1,9,VBN
selected,1,9,VBN
controlling,4,9,VBG
mailed,2,9,VBN
shoved,0,9,VBN
handwriting,1,9,VBG
practiced,0,9,VBN
posed,1,9,VBN
discovered,1,9,VBN
upcoming,3,9,VBG
flying,1,9,VBG
utilizing,1,9,VBG
starving,4,9,VBG
disappeared,0,9,VBD
investigated,1,9,VBN
filling,0,9,VBG
trusting,3,9,VBG
merced,0,9,VBN
bored,2,9,VBN
screwed,0,9,VBN
needing,4,9,VBG
contained,2,9,VBN
overlooked,0,9,VBN
motivated,5,9,VBN
abused,1,9,VBN
spoiled,3,9,VBN
adding,2,9,VBG
altered,2,9,VBN
fearing,0,9,VBG
imposed,2,9,VBN
laughing,1,9,VBG
sticking,0,9,VBG
redacted,3,9,VBN
complied,0,9,VBN
approve,0,9,VB
utilize,1,9,VB
sounded,3,9,VBD
landed,2,8,VBD
exhausted,4,8,VBN
carried,1,8,VBN
presenting,3,8,VBG
implementing,0,8,VBG
hed,2,8,VBN
embarrassing,1,8,VBG
traveling,2,8,VBG
adjusted,2,8,VBN
figuring,2,8,VBG
observing,0,8,VBG
manipulated,1,8,VBN
submitting,3,8,VBG
organize,1,8,VB
manufactured,0,8,VBD
harming,0,8,VBG
describing,1,8,VBG
outgoing,2,8,VBG
rose,2,8,VBD
discriminated,0,8,VBN
dedicated,2,8,VBN
drained,1,8,VBN
recognized,0,8,VBN
complying,0,8,VBG
postponed,3,8,VBN
appearing,2,8,VBG
terrifying,0,8,VBG
coloring,0,8,VBG
relating,0,8,VBG
communicated,0,8,VBN
expedited,1,8,VBN
ordering,0,8,VBG
deteriorated,0,8,VBN
teaching,4,8,VBG
resumed,0,8,VBD
improved,3,8,VBN
reminded,1,8,VBN
fatigued,0,8,VBN
tracing,0,8,VBG
postmarked,1,8,VBN
coupled,1,8,VBN
popping,1,8,VBG
hydrated,0,8,VBN
raising,1,8,VBG
abusing,0,8,VBG
racing,2,8,VBG
dehydrated,3,8,VBN
reflected,0,8,VBN
slacking,0,8,VBG
declined,2,8,VBD
retired,1,8,VBN
rejected,0,8,VBN
spitting,2,8,VBG
reinstated,0,8,VBN
recovering,0,8,VBG
lined,1,8,VBN
progressed,1,8,VBN
harassed,0,8,VBN
mingling,1,7,VBG
adapted,4,7,VBN
damned,0,7,VBN
managing,2,7,VBG
shackled,1,7,VBN
skyrocketing,0,7,VBG
sequestered,3,7,VBN
facilitated,2,7,VBN
repeated,0,7,VBN
vacated,0,7,VBN
achieving,0,7,VBG
aging,0,7,VBG
victimized,0,7,VBN
replied,0,7,VBD
punishing,0,7,VBG
disciplined,2,7,VBN
forgetting,1,7,VBG
disregarding,1,7,VBG
performed,1,7,VBN
murdered,0,7,VBN
supervised,0,7,VBN
purchased,0,7,VBN
assured,0,7,VBN
strained,0,7,VBN
enjoying,3,7,VBG
stealing,3,7,VBG
investigating,0,7,VBG
costing,0,7,VBG
disregarded,0,7,VBN
loaded,1,7,VBN
viewed,4,7,VBN
outdated,1,7,VBN
arguing,0,7,VBG
sweeping,0,7,VBG
lining,0,7,VBG
divided,4,7,VBN
slamming,0,7,VBG
completing,3,7,VBG
avoiding,0,7,VBG
hiring,1,7,VBG
crushing,1,7,VBG
observed,2,7,VBN
exploding,0,7,VBG
doubled,0,7,VBD
succeed,5,7,VB
selling,1,7,VBG
seized,0,7,VBN
corresponding,2,7,VBG
situated,0,7,VBN
shifting,0,7,VBG
schooling,2,7,VBG
studied,2,7,VBN
delaying,1,7,VBG
measured,0,7,VBN
collapsed,0,7,VBN
acquire,0,7,VB
freaking,3,7,VBG
disconnected,1,7,VBN
owns,0,7,VBZ
resorted,0,7,VBN
shooting,1,7,VBG
leaking,0,7,VBG
disrespected,0,7,VBN
amazed,3,7,VBN
mistreated,1,7,VBN
frightened,2,7,VBN
hacking,0,7,VBG
gathered,0,7,VBN
addressing,0,7,VBG
banning,0,7,VBG
tuned,2,7,VBN
neighboring,0,6,VBG
whining,0,6,VBG
enclosing,1,6,VBG
risking,0,6,VBG
noticing,0,6,VBG
scheduling,0,6,VBG
appealing,2,6,VBG
remembered,0,6,VBN
proceeded,0,6,VBD
inflicted,0,6,VBN
wicked,1,6,VBD
flashing,0,6,VBG
pooping,0,6,VBG
healed,2,6,VBN
weaponized,0,6,VBN
reversed,0,6,VBN
compacted,0,6,VBN
slipped,0,6,VBD
minimized,1,6,VBN
irritating,0,6,VBG
fixing,3,6,VBG
parenting,2,6,VBG
hired,0,6,VBN
ensued,0,6,VBN
deteriorating,0,6,VBG
reinfecting,0,6,VBG
attacked,2,6,VBN
encountered,4,6,VBN
indicated,1,6,VBN
covidrelated,2,6,VBN
approaching,0,6,VBG
swelled,0,6,VBD
annoying,0,6,VBG
penalized,0,6,VBN
injected,1,6,VBN
lawabiding,0,6,VBG
recalled,2,6,VBN
listened,0,6,VBN
baked,0,6,VBN
deprived,2,6,VBN
busted,0,6,VBN
greeting,3,6,VBG
floating,1,6,VBG
pouring,1,6,VBG
commented,2,6,VBN
minded,0,6,VBN
authorized,2,6,VBN
spreaded,0,6,VBD
tortured,1,6,VBN
swelling,0,6,VBG
protested,1,6,VBN
meditating,0,6,VBG
contaminating,0,6,VBG
consisted,2,6,VBN
defending,3,6,VBG
gasping,0,6,VBG
indicating,0,6,VBG
spacing,0,6,VBG
skipped,0,6,VBD
wheeled,2,6,VBD
suspected,0,6,VBN
gaining,2,6,VBG
limiting,1,6,VBG
cracked,0,6,VBN
trusted,4,6,VBN
imprisoned,1,6,VBN
assed,0,6,VBN
fallen,1,6,VBN
poisoning,1,6,VBG
interrupting,0,6,VBG
converted,0,6,VBN
cracking,1,6,VBG
escorting,2,6,VBG
harmed,0,6,VBN
summoned,0,6,VBN
rehousing,0,6,VBG
hoped,4,6,VBD
ensuring,1,6,VBG
showered,1,6,VBN
destroying,1,6,VBG
announcing,1,6,VBG
counseling,4,6,VBG
informing,4,6,VBG
reexposed,0,6,VBN
begged,1,6,VBN
prolonged,3,6,VBN
scrambled,0,6,VBN
resting,3,6,VBG
organized,1,6,VBN
detained,0,6,VBN
waived,0,6,VBN
discouraging,2,6,VBG
armed,4,6,VBN
contributed,0,6,VBD
rendered,0,6,VBN
testified,1,6,VBN
confiscated,0,5,VBN
assumed,0,5,VBN
sterilize,0,5,VB
compounded,2,5,VBN
owed,0,5,VBN
terminated,1,5,VBN
reflects,0,5,VBZ
ached,0,5,VBN
smothering,0,5,VBG
venting,1,5,VBG
protesting,2,5,VBG
speeding,0,5,VBG
biased,0,5,VBN
raided,0,5,VBN
sustained,1,5,VBN
combining,0,5,VBG
performing,1,5,VBG
downplaying,2,5,VBG
regulating,0,5,VBG
emailing,0,5,VBG
resentencing,1,5,VBG
classifying,0,5,VBG
declared,0,5,VBN
conferencing,0,5,VBG
distributing,0,5,VBG
grieving,2,5,VBG
behaved,1,5,VBN
solving,0,5,VBG
welded,0,5,VBD
rescheduled,0,5,VBN
advancing,0,5,VBG
stretched,2,5,VBN
mattered,0,5,VBN
owned,0,5,VBN
relying,0,5,VBG
doomed,1,5,VBN
desired,4,5,VBN
depended,1,5,VBN
mounting,0,5,VBG
appealed,0,5,VBD
integrating,0,5,VBG
associating,0,5,VBG
reasoning,0,5,VBG
tossed,0,5,VBN
conducted,1,5,VBN
prohibited,0,5,VBN
majoring,0,5,VBG
starved,0,5,VBN
wishing,3,5,VBG
godfearing,0,5,VBG
viewing,2,5,VBG
quoted,0,5,VBN
promoting,0,5,VBG
proved,0,5,VBN
projected,0,5,VBN
hugging,2,5,VBG
volunteering,0,5,VBG
secured,3,5,VBN
switching,0,5,VBG
abolished,1,5,VBN
displaying,0,5,VBG
perfected,0,5,VBN
voicing,0,5,VBG
flooding,0,5,VBG
burned,1,5,VBN
rotten,0,5,VB
hugged,0,5,VBN
ruled,1,5,VBN
transpired,0,5,VBN
geared,0,5,VBN
sing,5,5,VBG
aged,0,5,VBN
integrated,0,5,VBN
relieved,4,5,VBN
represents,0,5,VBZ
winning,0,5,VBG
aching,0,5,VBG
undergoing,0,5,VBG
pretending,0,5,VBG
ywing,1,5,VBG
accumulated,0,5,VBN
employed,0,5,VBN
heartwarming,2,5,VBG
obtained,2,5,VBN
generated,1,5,VBN
diminished,2,5,VBN
flawed,0,5,VBN
treasured,0,5,VBN
napping,1,5,VBG
formed,2,5,VBN
distracted,0,5,VBN
relocating,0,5,VBG
crocheting,0,5,VBG
errored,0,5,VBN
poking,0,5,VBG
anticipated,0,5,VBN
accessed,0,5,VBN
tracking,0,5,VBG
examined,0,5,VBN
restored,0,5,VBN
minimizing,0,5,VBG
inspiring,2,5,VBG
warehousing,0,5,VBG
reviewed,1,5,VBN
typing,1,5,VBG
disrupted,1,5,VBN
crosscontaminating,0,5,VBG
assisting,4,5,VBG
institutionalized,0,5,VBN
premised,0,5,VBN
remembering,3,5,VBG
inoculated,0,4,VBN
basing,2,4,VBG
tasting,0,4,VBG
awning,0,4,VBG
involving,0,4,VBG
creamed,0,4,VBN
smuggled,0,4,VBN
initiated,1,4,VBN
kindhearted,1,4,VBN
buried,1,4,VBN
furthering,0,4,VBG
canned,2,4,VBN
battled,0,4,VBN
blocking,0,4,VBG
fulfilling,0,4,VBG
skilled,0,4,VBN
stepping,2,4,VBG
evolving,1,4,VBG
horrifying,1,4,VBG
accounted,0,4,VBD
sniffling,0,4,VBG
excruciating,0,4,VBG
manifested,0,4,VBN
betting,0,4,VBG
excluded,0,4,VBN
alleviated,0,4,VBN
initiating,1,4,VBG
mindblowing,0,4,VBG
bullied,1,4,VBN
whispered,0,4,VBD
introducing,3,4,VBG
embarrassed,0,4,VBN
allocated,0,4,VBN
bounced,0,4,VBD
sharpen,1,4,VB
applying,0,4,VBG
surfaced,2,4,VBD
programing,2,4,VBG
slapped,0,4,VBD
gambling,1,4,VBG
swearing,0,4,VBG
oding,0,4,VBG
exchanged,1,4,VBN
murdering,0,4,VBG
weighed,1,4,VBN
established,3,4,VBN
victimizing,0,4,VBG
subjecting,0,4,VBG
executed,0,4,VBN
parked,0,4,VBN
stuffing,0,4,VBG
deformed,0,4,VBN
sewed,0,4,VBN
fingered,0,4,VBN
choking,0,4,VBG
crashing,0,4,VBG
identifying,0,4,VBG
chasing,1,4,VBG
solved,0,4,VBN
imaging,0,4,VBG
crushed,2,4,VBN
notifying,0,4,VBG
hated,1,4,VBN
joined,3,4,VBD
digging,0,4,VBG
aired,0,4,VBN
socializing,0,4,VBG
mentioning,0,4,VBG
