FlairSentiment,const,Week Number,case rate,death rate,Type_Jail,Type_Prison,Level_Federal,Level_State,Type_case rate,Type_death rate
0,1.0,51,0.0453998797354179,0.0,0,1,0,1,0.0453998797354179,0.0
0,1.0,53,0.0234515935057126,0.0,0,1,0,1,0.0234515935057126,0.0
0,1.0,54,0.0168370414912808,0.0003006614552014,0,1,0,1,0.0168370414912808,0.0003006614552014
0,1.0,69,0.0003006614552014,0.0,0,1,0,1,0.0003006614552014,0.0
0,1.0,69,0.0003006614552014,0.0,0,1,0,1,0.0003006614552014,0.0
0,1.0,69,0.0003006614552014,0.0,0,1,0,1,0.0003006614552014,0.0
0,1.0,69,0.0003006614552014,0.0,0,1,0,1,0.0003006614552014,0.0
0,1.0,69,0.0003006614552014,0.0,0,1,0,1,0.0003006614552014,0.0
0,1.0,69,0.0003006614552014,0.0,0,1,0,1,0.0003006614552014,0.0
0,1.0,69,0.0003006614552014,0.0,0,1,0,1,0.0003006614552014,0.0
0,1.0,69,0.0003006614552014,0.0,0,1,0,1,0.0003006614552014,0.0
0,1.0,79,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,85,0.0012026458208057,0.0,0,1,0,1,0.0012026458208057,0.0
0,1.0,104,0.0003006614552014,0.0,0,1,0,1,0.0003006614552014,0.0
0,1.0,106,0.0039085989176187,0.0,0,1,0,1,0.0039085989176187,0.0
0,1.0,43,0.0069881201956673,0.0,0,1,0,1,0.0069881201956673,0.0
0,1.0,47,0.0288842301420918,0.0002329373398555,0,1,0,1,0.0288842301420918,0.0002329373398555
0,1.0,50,0.0647565804798509,0.0004658746797111,0,1,0,1,0.0647565804798509,0.0004658746797111
0,1.0,50,0.0647565804798509,0.0004658746797111,0,1,0,1,0.0647565804798509,0.0004658746797111
0,1.0,51,0.0288842301420918,0.0,0,1,0,1,0.0288842301420918,0.0
1,1.0,52,0.0384346610761705,0.0004658746797111,0,1,0,1,0.0384346610761705,0.0004658746797111
0,1.0,52,0.0384346610761705,0.0004658746797111,0,1,0,1,0.0384346610761705,0.0004658746797111
0,1.0,52,0.0384346610761705,0.0004658746797111,0,1,0,1,0.0384346610761705,0.0004658746797111
0,1.0,52,0.0384346610761705,0.0004658746797111,0,1,0,1,0.0384346610761705,0.0004658746797111
0,1.0,52,0.0384346610761705,0.0004658746797111,0,1,0,1,0.0384346610761705,0.0004658746797111
0,1.0,52,0.0384346610761705,0.0004658746797111,0,1,0,1,0.0384346610761705,0.0004658746797111
