FlairSentiment,const,Week Number,case number,case rate,death number,death rate,Type_Prison,Level_Federal,Level_State,Type_case number,Type_case rate,Type_death number,Type_death rate
0,1.0,53,125.0,0.0291171674819474,4.0,0.0009317493594223,1,0,1,125.0,0.0291171674819474,4.0,0.0009317493594223
0,1.0,53,125.0,0.0291171674819474,4.0,0.0009317493594223,1,0,1,125.0,0.0291171674819474,4.0,0.0009317493594223
1,1.0,53,125.0,0.0291171674819474,4.0,0.0009317493594223,1,0,1,125.0,0.0291171674819474,4.0,0.0009317493594223
0,1.0,53,125.0,0.0291171674819474,4.0,0.0009317493594223,1,0,1,125.0,0.0291171674819474,4.0,0.0009317493594223
0,1.0,53,125.0,0.0291171674819474,4.0,0.0009317493594223,1,0,1,125.0,0.0291171674819474,4.0,0.0009317493594223
1,1.0,53,125.0,0.0291171674819474,4.0,0.0009317493594223,1,0,1,125.0,0.0291171674819474,4.0,0.0009317493594223
0,1.0,54,122.0,0.0284183554623806,1.0,0.0002329373398555,1,0,1,122.0,0.0284183554623806,1.0,0.0002329373398555
0,1.0,54,122.0,0.0284183554623806,1.0,0.0002329373398555,1,0,1,122.0,0.0284183554623806,1.0,0.0002329373398555
0,1.0,55,14.0,0.0032611227579781,1.0,0.0002329373398555,1,0,1,14.0,0.0032611227579781,1.0,0.0002329373398555
0,1.0,55,14.0,0.0032611227579781,1.0,0.0002329373398555,1,0,1,14.0,0.0032611227579781,1.0,0.0002329373398555
0,1.0,58,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,64,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,66,1.0,0.0002329373398555,0.0,0.0,1,0,1,1.0,0.0002329373398555,0.0,0.0
1,1.0,67,1.0,0.0002329373398555,0.0,0.0,1,0,1,1.0,0.0002329373398555,0.0,0.0
0,1.0,43,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,44,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,44,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,45,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,45,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,48,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,51,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
1,1.0,51,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,55,2.0,0.0005733944954128,0.0,0.0,1,0,1,2.0,0.0005733944954128,0.0,0.0
0,1.0,43,1.0,0.0003732736095558,0.0,0.0,1,0,1,1.0,0.0003732736095558,0.0,0.0
0,1.0,45,2.0,0.0007465472191116,0.0,0.0,1,0,1,2.0,0.0007465472191116,0.0,0.0
0,1.0,48,86.0,0.0321015304217992,1.0,0.0003732736095558,1,0,1,86.0,0.0321015304217992,1.0,0.0003732736095558
0,1.0,49,635.0,0.237028742067936,1.0,0.0003732736095558,1,0,1,635.0,0.237028742067936,1.0,0.0003732736095558
0,1.0,63,1.0,0.0003732736095558,0.0,0.0,1,0,1,1.0,0.0003732736095558,0.0,0.0
0,1.0,43,3.0,0.0006533101045296,1.0,0.0002177700348432,1,0,1,3.0,0.0006533101045296,1.0,0.0002177700348432
0,1.0,44,8.0,0.0017421602787456,0.0,0.0,1,0,1,8.0,0.0017421602787456,0.0,0.0
0,1.0,44,8.0,0.0017421602787456,0.0,0.0,1,0,1,8.0,0.0017421602787456,0.0,0.0
0,1.0,44,8.0,0.0017421602787456,0.0,0.0,1,0,1,8.0,0.0017421602787456,0.0,0.0
0,1.0,45,5.0,0.001088850174216,0.0,0.0,1,0,1,5.0,0.001088850174216,0.0,0.0
0,1.0,45,5.0,0.001088850174216,0.0,0.0,1,0,1,5.0,0.001088850174216,0.0,0.0
0,1.0,45,5.0,0.001088850174216,0.0,0.0,1,0,1,5.0,0.001088850174216,0.0,0.0
0,1.0,63,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,72,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,89,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,89,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,89,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,44,8.0,0.0027406646111682,0.0,0.0,1,0,1,8.0,0.0027406646111682,0.0,0.0
0,1.0,55,21.0,0.0071942446043165,0.0,0.0,1,0,1,21.0,0.0071942446043165,0.0,0.0
0,1.0,57,3.0,0.001027749229188,0.0,0.0,1,0,1,3.0,0.001027749229188,0.0,0.0
0,1.0,59,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,65,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,86,1.0,0.000342583076396,0.0,0.0,1,0,1,1.0,0.000342583076396,0.0,0.0
0,1.0,44,1.0,0.0002853067047075,0.0,0.0,1,0,1,1.0,0.0002853067047075,0.0,0.0
0,1.0,51,112.0,0.0319543509272468,1.0,0.0002853067047075,1,0,1,112.0,0.0319543509272468,1.0,0.0002853067047075
0,1.0,52,44.0,0.0125534950071327,0.0,0.0,1,0,1,44.0,0.0125534950071327,0.0,0.0
0,1.0,68,1.0,0.0002853067047075,0.0,0.0,1,0,1,1.0,0.0002853067047075,0.0,0.0
0,1.0,69,1.0,0.0002853067047075,0.0,0.0,1,0,1,1.0,0.0002853067047075,0.0,0.0
0,1.0,72,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,86,3.0,0.0008559201141226,1.0,0.0002853067047075,1,0,1,3.0,0.0008559201141226,1.0,0.0002853067047075
0,1.0,44,104.0,0.0514596734289955,1.0,0.0004948045522018,1,0,1,104.0,0.0514596734289955,1.0,0.0004948045522018
0,1.0,44,104.0,0.0514596734289955,1.0,0.0004948045522018,1,0,1,104.0,0.0514596734289955,1.0,0.0004948045522018
0,1.0,44,104.0,0.0514596734289955,1.0,0.0004948045522018,1,0,1,104.0,0.0514596734289955,1.0,0.0004948045522018
0,1.0,44,104.0,0.0514596734289955,1.0,0.0004948045522018,1,0,1,104.0,0.0514596734289955,1.0,0.0004948045522018
0,1.0,44,104.0,0.0514596734289955,1.0,0.0004948045522018,1,0,1,104.0,0.0514596734289955,1.0,0.0004948045522018
0,1.0,45,55.0,0.0272142503711034,0.0,0.0,1,0,1,55.0,0.0272142503711034,0.0,0.0
0,1.0,45,55.0,0.0272142503711034,0.0,0.0,1,0,1,55.0,0.0272142503711034,0.0,0.0
0,1.0,46,2.0,0.0009896091044037,0.0,0.0,1,0,1,2.0,0.0009896091044037,0.0,0.0
0,1.0,47,1.0,0.0004948045522018,1.0,0.0004948045522018,1,0,1,1.0,0.0004948045522018,1.0,0.0004948045522018
0,1.0,47,1.0,0.0004948045522018,1.0,0.0004948045522018,1,0,1,1.0,0.0004948045522018,1.0,0.0004948045522018
0,1.0,47,1.0,0.0004948045522018,1.0,0.0004948045522018,1,0,1,1.0,0.0004948045522018,1.0,0.0004948045522018
0,1.0,48,3.0,0.0014844136566056,0.0,0.0,1,0,1,3.0,0.0014844136566056,0.0,0.0
