file_name,date,prison_name,tags
Fresno_Main_20210920_28918_FULL,20210920,Fresno_Main,['']
SanJoaquin_Main_20210831_12851_FULL,20210831,SanJoaquin_Main,['']
SanJoaquin_Main_20210831_15688_FULL,20210831,SanJoaquin_Main,['']
SanJoaquin_Main_20210902_88473_P2_FULL,20210902,SanJoaquin_Main,['']
SanJoaquin_Main_20210907_38166_P1_FULL,20210907,SanJoaquin_Main,['']
SanJoaquin_Main_20210907_38166_P2_FULL,20210907,SanJoaquin_Main,['']
SanJoaquin_Main_20210907_38166_P2_Infection,20210907,SanJoaquin_Main,['']
SanJoaquin_Main_20210907_70339_FULL,20210907,SanJoaquin_Main,['']
SanJoaquin_Main_20210910_54143_FULL,20210910,SanJoaquin_Main,['']
Yuba_20210903_29710_FULL,20210903,Yuba,['']
Yuba_20210811_503_FULL,20210811,Yuba,['']
SanJoaquin_Main_20210914_84921_Full,20210914,SanJoaquin_Main,['']
Merced_Latorraca_20210910_38691_FULL,20210910,Merced_Latorraca,['']
Merced_Latorraca _20210917_24079_FULL,20210917,Merced_Latorraca ,['']
Merced_Latorraca_20210910_81379_FULL,20210910,Merced_Latorraca,['']
Fresno_Main_20210916_46088_FULL,20210916,Fresno_Main,"['Prison Conditions', ' Stress']"
Fresno_Main_20210916_72217_FULL,20210916,Fresno_Main,['']
CaliforniaCity_20210604_821_FULL_Programs_Infection,20210604,CaliforniaCity,"['Programs', ' Infection']"
Merced_Main_20210920_55348_P1_P2_FULL,20210920,Merced_Main,['']
FireCamps_20210816_715_P1_FULL,20210816,FireCamps,['']
Kings_Main_20210827_87009_FULL,20210827,Kings_Main,['']
Merced_Latorraca_20210917_17611_FULL,20210917,Merced_Latorraca,['']
Fresno_Main_20210831_43692_FULL,20210831,Fresno_Main,['']
CaliforniaCity_20210609_844_FULL,20210609,CaliforniaCity,['']
CaliforniaCity_20210617_624_FULL,20210617,CaliforniaCity,['']
Merced_Main_20210914_19036_FULL,20210914,Merced_Main,['']
LosAngeles_MensCentral_20211006_22274_FULL,20211006,LosAngeles_MensCentral,['']
LosAngeles_MensCentral_20211001_10081_FULL,20211001,LosAngeles_MensCentral,['']
LosAngeles_MensCentral_20210929_73176_FULL,20210929,LosAngeles_MensCentral,['']
LosAngeles_TwinTowers_20211006_47422_FULL,20211006,LosAngeles_TwinTowers,['']
Ventura_Main_20211109_47163_FULL,20211109,Ventura_Main,['']
Ventura_Todd_20211109_15925_FULL,20211109,Ventura_Todd,['']
Ventura_Todd_20211109_61440_FULL,20211109,Ventura_Todd,['']
Merced_Main_20211005_25218_FULL,20211005,Merced_Main,['']
Ventura_Todd_20211109_94215_FULL,20211109,Ventura_Todd,['']
Yuba_20211018_65593_FULL,20211018,Yuba,['']
LosAngeles_MensCentral_20211115_99586_FULL,20211115,LosAngeles_MensCentral,['']
LosAngeles_TwinTowers_20211004_32516_FULL,20211004,LosAngeles_TwinTowers,['']
Yuba_20211129_59826_FULL,20211129,Yuba,['']
Kern_GSAnnex_20210812_712_FULL,20210812,Kern_GSAnnex,['']
Kern_GSAnnex_20210812_756_FULL,20210812,Kern_GSAnnex,['']
Kern_GSAnnex_20210812_737_FULL_Spanish,20210812,Kern_GSAnnex,['']
Kern_GSAnnex_20210812_737_FULL_English,20210812,Kern_GSAnnex,['']
SanBernadino_WestValley_20211011_86411_FULL,20211011,SanBernadino_WestValley,['']
SanBernardino_Central_20211004_84859_P1_FULL,20211004,SanBernardino_Central,['']
SantaClara_Elmwood_20220209_58109_FULL,20220209,SantaClara_Elmwood,['']
SantaClara_Elmwood_20211221_34216_FULL,20211221,SantaClara_Elmwood,['']
PelicanBay_20210907_20161_FULL,20210907,PelicanBay,['']
PelicanBay_20210920_34490_FULL,20210920,PelicanBay,['']
PelicanBay_20211005_33525_FULL,20211005,PelicanBay,['']
Ventura_Main_20211117_90427_FULL,20211117,Ventura_Main,['']
Ventura_Main_20211215_87702_FULL_PrisonConditions_Infection,20211215,Ventura_Main,"['Prison Conditions', ' Infection', ' Featured']"
Ventura_Main_20211223_95494_FULL,20211223,Ventura_Main,['']
Ventura_Main_20220103_11818_FULL,20220103,Ventura_Main,['']
Ventura_Todd_20211112_20428_FULL_PrisonConditions_Stress,20211112,Ventura_Todd,"['Prison Conditions', ' Stress']"
Ventura_Todd_20211130_75217_FULL_Stress,20211130,Ventura_Todd,['Stress']
Riverside_Presley_20210603_851_FULL_Infection_PrisonConditions_Family,20210603,Riverside_Presley,"['Infection', ' PrisonConditions', ' Family']"
Merced_Main_20210916_16065_FULL,20210916,Merced_Main,['']
Merced_Main_20210916_65115_FULL,20210916,Merced_Main,['']
Fresno_Main_20211006 _19112_FULL,20211006,Fresno_Main,['']
Fresno_Main_20210831_76770_FULL,20210831,Fresno_Main,['']
CaliforniaCity_20210617_714_FULL,20210617,CaliforniaCity,['']
Amador_Main_20210914_87709_FULL,20210914,Amador_Main,['']
Merced_Main_20220105_70350_FULL_PrisonConditions,20220105,Merced_Main,['Prison Conditions']
Tulare_BobWiley_20210908_44718_FULL,20210908,Tulare_BobWiley,['']
Tulare_BobWiley_20211112_16604_FULL,20211112,Tulare_BobWiley,['']
Tulare_BobWiley_20220302_13180_FULL,20220302,Tulare_BobWiley,['']
Tulare_Main_20211227_94959_FULL,20211227,Tulare_Main,['']
Tulare_SouthCounty_20211105_16555_FULL,20211105,Tulare_SouthCounty,['']
SantaClara_Elmwood_20211201_47028_FULL,20211201,SantaClara_Elmwood,['']
SantaClara_Elmwood_20211201_62377_FULL,20211201,SantaClara_Elmwood,['']
SantaClara_Elmwood_20211206_71158_FULL,20211206,SantaClara_Elmwood,['']
SantaClara_Elmwood_20211206_85268_FULL,20211206,SantaClara_Elmwood,['']
SantaClara_Main_20211223_63230_FULL,20211223,SantaClara_Main,['']
Amador_Main_20210831_95905_FULL,20210831,Amador_Main,['']
Norco_20210827_36000_FULL,20210827,Norco,['']
Norco_20210906_39314_FULL_Family_Infection,20210906,Norco,"['Family', ' Infection']"
Stockton_20210922_26483_FULL,20210922,Stockton,['']
Alameda_SantaRita_20211208_13170_FULL,20211208,Alameda_SantaRita,['']
Alameda_SantaRita_20211208_79927_FULL,20211208,Alameda_SantaRita,['']
Avenal_20210916_71906_P1_FULL,20210916,Avenal,['']
Avenal_20210916_71906_P2_FULL,20210916,Avenal,['']
Avenal_20210916_71906_P3_FULL,20210916,Avenal,['']
Chowchilla_20210913_92441_FULL,20210913,Chowchilla,['']
Solano_20210831_10115_FULL,20210831,Solano,['']
Vacaville_20210817_646_FULL,20210817,Vacaville,['']
Alameda_SantaRita_20211117_77131_FULL,20211117,Alameda_SantaRita,['']
Alameda_SantaRita_20211104_17377_FULL,20211104,Alameda_SantaRita,['']
Butte_Main_20220105_59841_FULL,20220105,Butte_Main,['']
Butte_Main_20220105_13697_FULL,20220105,Butte_Main,['']
Alameda_SantaRita_20211112_94071_FULL,20211112,Alameda_SantaRita,['']
Alameda_SantaRita_20210505_708_FULL,20210505,Alameda_SantaRita,['']
Alameda_SantaRita_20220113_78977_FULL,20220113,Alameda_SantaRita,['']
Alameda_SantaRita_20220225_68847_FULL,20220225,Alameda_SantaRita,['']
Chino_20220204_15904_FULL,20220204,Chino,['']
Chino_20220204_68596_FULL,20220204,Chino,['']
Chino_20220204_45125_FULL,20220204,Chino,['']
Chino_20220204_94412_FULL,20220204,Chino,['']
Chino_20220204_43800_FULL,20220204,Chino,['']
Vacaville_20210707_15983_Full,20210707,Vacaville,['']
Vacaville_20220114_49400_FULL,20220114,Vacaville,['']
Alameda_SantaRita_20220225_43871_FULL,20220225,Alameda_SantaRita,['']
NewFolsom_20210609_618_FULL,20210609,NewFolsom,['']
NewFolsom_20210610_605_FULL,20210610,NewFolsom,['']
NewFolsom_20220112_29146_FULL,20220112,NewFolsom,['']
MuleCreek_20210114_0504_FULL,20210114,MuleCreek,['']
MuleCreek_20210114_0518_FULL,20210114,MuleCreek,['']
CaliforniaCity_20210426_816_Full_ProgramsFamily,20210426,CaliforniaCity,"['Programs', ' Family']"
Calipatria_ 20210208_351_FULL,20210208,Calipatria_,['']
Calipatria_20210124_314_Full,20210124,Calipatria,['']
Calipatria_20210125_313_Full,20210125,Calipatria,['']
Calipatria_20210127_335_Full,20210127,Calipatria,['']
Calipatria_20210129_309_FULL_Infection_Stress,20210129,Calipatria,['Family']
Calipatria_20210129_369_FULL_PrisonConditions_Stress,20210129,Calipatria,"['Prison Conditions', ' Stress']"
Calipatria_20210201_374_FULL_Infection,20210201,Calipatria,"['Infection', ' Prison Conditions']"
Calipatria_20210201_376_FULL_Family_Programs,20210201,Calipatria,"['Family', ' Programs']"
Calipatria_20210203_383_FULL,20210203,Calipatria,['']
