Filename,Sentiment,Subjectivity,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment,prison_name,County,population,tags,Start Date,End Date,date,cases,deaths,Subjectivity_BoxCox,Case/Population,Death/Population
Tehachapi_20201209_111_FULL,NEGATIVE,0.0002826154232025,0.026,0.826,0.148,0.986,Tehachapi,Kern,927251.0,"['Infection', ' Programs', ' Stress', ' Family']",2020-12-02,2020-12-09,2020-12-09,6868.0,32.0,-12.37338063718240,0.007406840219099250,3.45106125525882E-05
CIW_20201209_114_FULL,NEGATIVE,0.0075161159038544,0.082,0.673,0.246,0.998,CIW,San Bernardino,2217398.0,"['Stress', ' Family', ' Prison Conditions', ' Programs']",2020-12-02,2020-12-09,2020-12-09,26619.0,213.0,-6.231638429126060,0.012004610809606600,9.60585334703107E-05
Lancaster_20201209_110_FULL,NEGATIVE,8.88109207158871E-06,0.182,0.758,0.061,-0.995,Lancaster,Los Angeles,10257557.0,"['Infection', ' Stress', ' Prison Conditions']",2020-12-02,2020-12-09,2020-12-09,84965.0,540.0,-21.31137196948530,0.008283161380433960,5.26441139932247E-05
Tehachapi_20201209_107_FULL,NEGATIVE,0.0003301799297332,0.081,0.777,0.142,0.9972,Tehachapi,Kern,927251.0,[''],2020-12-02,2020-12-09,2020-12-09,6868.0,32.0,-12.03674603593640,0.007406840219099250,3.45106125525882E-05
Tehachapi_20201210_119_FULL,NEGATIVE,0.0777918994426727,0.065,0.769,0.166,0.9789,Tehachapi,Kern,927251.0,"['Prison Conditions', ' Family', ' Program']",2020-12-03,2020-12-10,2020-12-10,7223.0,30.0,-2.891615396191890,0.0077896923271045300,3.23536992680515E-05
Tehachapi_20201210_115_FULL,NEGATIVE,0.0074283778667449,0.088,0.773,0.139,0.8624,Tehachapi,Kern,927251.0,"['Infection', ' Family']",2020-12-03,2020-12-10,2020-12-10,7223.0,30.0,-6.250370443141630,0.0077896923271045300,3.23536992680515E-05
Tehachapi_20201210_102_FULL,NEGATIVE,0.000132828950882,0.119,0.654,0.227,0.9978,Tehachapi,Kern,927251.0,"['Family', ' Infection', ' Stress', ' Prison Conditions']",2020-12-03,2020-12-10,2020-12-10,7223.0,30.0,-14.080242461178300,0.0077896923271045300,3.23536992680515E-05
MuleCreek_20201210_101_FULL,NEGATIVE,6.47902488707941E-05,0.141,0.805,0.054,-0.9081,Mule Creek,Amador,38531.0,[''],2020-12-03,2020-12-10,2020-12-10,628.0,3.0,-15.82126661680830,0.016298564791985700,7.78593859489762E-05
Tehachapi_20201211_99_FULL,NEGATIVE,0.0014224052429199,0.056,0.676,0.268,0.997,Tehachapi,Kern,927251.0,"['Programs', ' Stress']",2020-12-04,2020-12-11,2020-12-11,7308.0,30.0,-9.108190291536510,0.00788136114169734,3.23536992680515E-05
Chino_20201211_0615_FULL,NEGATIVE,4.67300415039063E-05,0.108,0.815,0.077,-0.978,Chino,San Bernardino,2217398.0,[''],2020-12-04,2020-12-11,2020-12-11,28101.0,245.0,-16.654078028496800,0.012672961732625400,0.00011048986244237600
