Facility Name,Week Number,Positive_Count,Negative_Count,Overall Count_x,Prison Count,Overall Positive Ratio,Overall Negative Ratio,Prison Positive Ratio,Prison Negative Ratio,Prison Case Number_x,Prison Death Number_x,Prison File Count_x,Overall Count_y,Type_x,_merge,County,Level,Prison Case Number_y,Prison Death Number_y,Prison File Count_y,Overall Count,Type_y
Avenal,45,0,3,12,3,0.0,0.25,0.0,1.0,15.0,0.0,3,12,Prison,both,Kings,State,15.0,0.0,3,12,Prison
Chuckawalla,45,0,2,12,2,0.0,0.1666666666666666,0.0,1.0,110.0,0.0,2,12,Prison,both,Riverside,State,110.0,0.0,2,12,Prison
Ironwood,45,0,1,12,1,0.0,0.0833333333333333,0.0,1.0,3.0,0.0,1,12,Prison,both,Riverside,State,3.0,0.0,1,12,Prison
Lancaster,45,0,1,12,1,0.0,0.0833333333333333,0.0,1.0,2.0,0.0,1,12,Prison,both,Los Angeles,State,2.0,0.0,1,12,Prison
Mule Creek,45,0,2,12,2,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,2,12,Prison,both,Amador,State,0.0,0.0,2,12,Prison
SanQuentin,45,0,2,12,2,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,2,12,Prison,both,Marin,State,0.0,0.0,2,12,Prison
Vacaville,45,0,1,12,1,0.0,0.0833333333333333,0.0,1.0,5.0,0.0,1,12,Prison,both,Solano,State,5.0,0.0,1,12,Prison
Avenal,63,0,1,24,1,0.0,0.0416666666666666,0.0,1.0,0.0,0.0,1,24,Prison,both,Kings,State,0.0,0.0,1,24,Prison
CIW,63,0,1,24,1,0.0,0.0416666666666666,0.0,1.0,2.0,0.0,1,24,Prison,both,San Bernardino,State,2.0,0.0,1,24,Prison
CMC,63,0,1,24,1,0.0,0.0416666666666666,0.0,1.0,0.0,0.0,1,24,Prison,both,San Luis Obispo,State,0.0,0.0,1,24,Prison
Donovan,63,1,0,24,1,0.0416666666666666,0.0,1.0,0.0,0.0,0.0,1,24,Prison,both,San Diego,State,0.0,0.0,1,24,Prison
High Desert,63,1,0,24,1,0.0416666666666666,0.0,1.0,0.0,1.0,0.0,1,24,Prison,both,Lassen,State,1.0,0.0,1,24,Prison
Jamestown,63,0,4,24,4,0.0,0.1666666666666666,0.0,1.0,4.0,0.0,4,24,Prison,both,Tuolumne,State,4.0,0.0,4,24,Prison
Lancaster,63,0,1,24,1,0.0,0.0416666666666666,0.0,1.0,1.0,0.0,1,24,Prison,both,Los Angeles,State,1.0,0.0,1,24,Prison
Pleasant Valley,63,0,1,24,1,0.0,0.0416666666666666,0.0,1.0,0.0,0.0,1,24,Prison,both,Riverside,State,0.0,0.0,1,24,Prison
SalinasValley,63,0,1,24,1,0.0,0.0416666666666666,0.0,1.0,0.0,0.0,1,24,Prison,both,Monterey,State,0.0,0.0,1,24,Prison
Solano,63,0,1,24,1,0.0,0.0416666666666666,0.0,1.0,1.0,0.0,1,24,Prison,both,Solano,State,1.0,0.0,1,24,Prison
Stockton,63,1,3,24,4,0.0416666666666666,0.125,0.25,0.75,4.0,0.0,4,24,Prison,both,San Joaquin,State,4.0,0.0,4,24,Prison
Tracy,63,0,2,24,2,0.0,0.0833333333333333,0.0,1.0,0.0,0.0,2,24,Prison,both,San Joaquin,State,0.0,0.0,2,24,Prison
Valley State,63,0,2,24,2,0.0,0.0833333333333333,0.0,1.0,0.0,0.0,2,24,Prison,both,Madera,State,0.0,0.0,2,24,Prison
Wasco,63,0,3,24,3,0.0,0.125,0.0,1.0,6.0,0.0,3,24,Prison,both,Kern,State,6.0,0.0,3,24,Prison
Avenal,72,0,1,8,1,0.0,0.125,0.0,1.0,0.0,0.0,1,8,Prison,both,Kings,State,0.0,0.0,1,8,Prison
Corcoran,72,0,1,8,1,0.0,0.125,0.0,1.0,0.0,0.0,1,8,Prison,both,Kings,State,0.0,0.0,1,8,Prison
Mule Creek,72,0,3,8,3,0.0,0.375,0.0,1.0,0.0,0.0,3,8,Prison,both,Amador,State,0.0,0.0,3,8,Prison
Orange_Central,72,0,1,8,1,0.0,0.125,0.0,1.0,240.0,2.0,1,8,Jail,both,Orange,County,240.0,2.0,1,8,Jail
PelicanBay,72,0,1,8,1,0.0,0.125,0.0,1.0,0.0,0.0,1,8,Prison,both,Fresno,State,0.0,0.0,1,8,Prison
SalinasValley,72,0,1,8,1,0.0,0.125,0.0,1.0,0.0,0.0,1,8,Prison,both,Monterey,State,0.0,0.0,1,8,Prison
Butte_Main,105,0,2,15,2,0.0,0.1333333333333333,0.0,1.0,3898.0,4.0,2,15,Jail,both,Butte,County,3898.0,4.0,2,15,Jail
Merced_Main,105,0,9,15,9,0.0,0.6,0.0,1.0,32463.0,99.0,9,15,Jail,both,Merced,County,32463.0,99.0,9,15,Jail
Ventura_Main,105,0,4,15,4,0.0,0.2666666666666666,0.0,1.0,69536.0,88.0,4,15,Jail,both,Ventura,County,69536.0,88.0,4,15,Jail
CIW,46,0,1,3,1,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1,3,Prison,both,San Bernardino,State,0.0,0.0,1,3,Prison
Chuckawalla,46,0,1,3,1,0.0,0.3333333333333333,0.0,1.0,2.0,0.0,1,3,Prison,both,Riverside,State,2.0,0.0,1,3,Prison
Ironwood,46,0,1,3,1,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1,3,Prison,both,Riverside,State,0.0,0.0,1,3,Prison
CIW,48,0,2,13,2,0.0,0.1538461538461538,0.0,1.0,74.0,0.0,2,13,Prison,both,San Bernardino,State,74.0,0.0,2,13,Prison
Centinela,48,0,1,13,1,0.0,0.0769230769230769,0.0,1.0,322.0,1.0,1,13,Prison,both,Imperial,State,322.0,1.0,1,13,Prison
Chino,48,0,1,13,1,0.0,0.0769230769230769,0.0,1.0,3.0,0.0,1,13,Prison,both,San Bernardino,State,3.0,0.0,1,13,Prison
Chowchilla,48,0,1,13,1,0.0,0.0769230769230769,0.0,1.0,3.0,0.0,1,13,Prison,both,Madera,State,3.0,0.0,1,13,Prison
Chuckawalla,48,0,1,13,1,0.0,0.0769230769230769,0.0,1.0,3.0,0.0,1,13,Prison,both,Riverside,State,3.0,0.0,1,13,Prison
Donovan,48,0,2,13,2,0.0,0.1538461538461538,0.0,1.0,396.0,0.0,2,13,Prison,both,San Diego,State,396.0,0.0,2,13,Prison
Lancaster,48,0,1,13,1,0.0,0.0769230769230769,0.0,1.0,86.0,1.0,1,13,Prison,both,Los Angeles,State,86.0,1.0,1,13,Prison
SanQuentin,48,0,1,13,1,0.0,0.0769230769230769,0.0,1.0,0.0,0.0,1,13,Prison,both,Marin,State,0.0,0.0,1,13,Prison
Tehachapi,48,0,3,13,3,0.0,0.2307692307692307,0.0,1.0,429.0,0.0,3,13,Prison,both,Kern,State,429.0,0.0,3,13,Prison
CIW,49,0,2,23,2,0.0,0.0869565217391304,0.0,1.0,74.0,0.0,2,23,Prison,both,San Bernardino,State,74.0,0.0,2,23,Prison
Chino,49,1,3,23,4,0.0434782608695652,0.1304347826086956,0.25,0.75,0.0,0.0,4,23,Prison,both,San Bernardino,State,0.0,0.0,4,23,Prison
Chowchilla,49,0,1,23,1,0.0,0.0434782608695652,0.0,1.0,6.0,0.0,1,23,Prison,both,Madera,State,6.0,0.0,1,23,Prison
Chuckawalla,49,0,2,23,2,0.0,0.0869565217391304,0.0,1.0,6.0,2.0,2,23,Prison,both,Riverside,State,6.0,2.0,2,23,Prison
Lancaster,49,0,1,23,1,0.0,0.0434782608695652,0.0,1.0,635.0,1.0,1,23,Prison,both,Los Angeles,State,635.0,1.0,1,23,Prison
Mule Creek,49,0,1,23,1,0.0,0.0434782608695652,0.0,1.0,365.0,1.0,1,23,Prison,both,Amador,State,365.0,1.0,1,23,Prison
Tehachapi,49,0,12,23,12,0.0,0.5217391304347826,0.0,1.0,252.0,0.0,12,23,Prison,both,Kern,State,252.0,0.0,12,23,Prison
CIW,50,0,2,17,2,0.0,0.1176470588235294,0.0,1.0,14.0,0.0,2,17,Prison,both,San Bernardino,State,14.0,0.0,2,17,Prison
CSATF,50,1,1,17,2,0.0588235294117647,0.0588235294117647,0.5,0.5,12.0,0.0,2,17,Prison,both,Kings,State,12.0,0.0,2,17,Prison
Chino,50,0,2,17,2,0.0,0.1176470588235294,0.0,1.0,18.0,0.0,2,17,Prison,both,San Bernardino,State,18.0,0.0,2,17,Prison
Chowchilla,50,0,1,17,1,0.0,0.0588235294117647,0.0,1.0,14.0,0.0,1,17,Prison,both,Madera,State,14.0,0.0,1,17,Prison
Solano,50,0,3,17,3,0.0,0.1764705882352941,0.0,1.0,420.0,0.0,3,17,Prison,both,Solano,State,420.0,0.0,3,17,Prison
Soledad,50,0,2,17,2,0.0,0.1176470588235294,0.0,1.0,556.0,4.0,2,17,Prison,both,Monterey,State,556.0,4.0,2,17,Prison
Tehachapi,50,0,5,17,5,0.0,0.2941176470588235,0.0,1.0,675.0,0.0,5,17,Prison,both,Kern,State,675.0,0.0,5,17,Prison
CIW,51,0,1,15,1,0.0,0.0666666666666666,0.0,1.0,0.0,0.0,1,15,Prison,both,San Bernardino,State,0.0,0.0,1,15,Prison
Chino,51,0,3,15,3,0.0,0.2,0.0,1.0,102.0,0.0,3,15,Prison,both,San Bernardino,State,102.0,0.0,3,15,Prison
Chowchilla,51,0,3,15,3,0.0,0.2,0.0,1.0,516.0,0.0,3,15,Prison,both,Madera,State,516.0,0.0,3,15,Prison
Corcoran,51,0,1,15,1,0.0,0.0666666666666666,0.0,1.0,112.0,1.0,1,15,Prison,both,Kings,State,112.0,1.0,1,15,Prison
SanQuentin,51,1,1,15,2,0.0666666666666666,0.0666666666666666,0.5,0.5,0.0,0.0,2,15,Prison,both,Marin,State,0.0,0.0,2,15,Prison
Solano,51,0,2,15,2,0.0,0.1333333333333333,0.0,1.0,302.0,0.0,2,15,Prison,both,Solano,State,302.0,0.0,2,15,Prison
Soledad,51,0,1,15,1,0.0,0.0666666666666666,0.0,1.0,124.0,0.0,1,15,Prison,both,Monterey,State,124.0,0.0,1,15,Prison
Tehachapi,51,0,1,15,1,0.0,0.0666666666666666,0.0,1.0,26.0,1.0,1,15,Prison,both,Kern,State,26.0,1.0,1,15,Prison
Vacaville,51,0,1,15,1,0.0,0.0666666666666666,0.0,1.0,151.0,0.0,1,15,Prison,both,Solano,State,151.0,0.0,1,15,Prison
CIW,52,0,1,18,1,0.0,0.0555555555555555,0.0,1.0,0.0,0.0,1,18,Prison,both,San Bernardino,State,0.0,0.0,1,18,Prison
CSATF,52,0,1,18,1,0.0,0.0555555555555555,0.0,1.0,1.0,0.0,1,18,Prison,both,Kings,State,1.0,0.0,1,18,Prison
Chino,52,0,1,18,1,0.0,0.0555555555555555,0.0,1.0,26.0,0.0,1,18,Prison,both,San Bernardino,State,26.0,0.0,1,18,Prison
Chowchilla,52,0,1,18,1,0.0,0.0555555555555555,0.0,1.0,222.0,0.0,1,18,Prison,both,Madera,State,222.0,0.0,1,18,Prison
Corcoran,52,0,1,18,1,0.0,0.0555555555555555,0.0,1.0,44.0,0.0,1,18,Prison,both,Kings,State,44.0,0.0,1,18,Prison
Ironwood,52,1,1,18,2,0.0555555555555555,0.0555555555555555,0.5,0.5,138.0,0.0,2,18,Prison,both,Riverside,State,138.0,0.0,2,18,Prison
Soledad,52,1,8,18,9,0.0555555555555555,0.4444444444444444,0.1111111111111111,0.8888888888888888,1485.0,18.0,9,18,Prison,both,Monterey,State,1485.0,18.0,9,18,Prison
Tehachapi,52,0,2,18,2,0.0,0.1111111111111111,0.0,1.0,48.0,4.0,2,18,Prison,both,Kern,State,48.0,4.0,2,18,Prison
CIW,64,0,1,12,1,0.0,0.0833333333333333,0.0,1.0,1.0,0.0,1,12,Prison,both,San Bernardino,State,1.0,0.0,1,12,Prison
CSATF,64,1,0,12,1,0.0833333333333333,0.0,1.0,0.0,0.0,0.0,1,12,Prison,both,Kings,State,0.0,0.0,1,12,Prison
Calipatria,64,0,1,12,1,0.0,0.0833333333333333,0.0,1.0,0.0,0.0,1,12,Prison,both,Imperial,State,0.0,0.0,1,12,Prison
Chowchilla,64,0,1,12,1,0.0,0.0833333333333333,0.0,1.0,2.0,0.0,1,12,Prison,both,Madera,State,2.0,0.0,1,12,Prison
KernValley,64,0,1,12,1,0.0,0.0833333333333333,0.0,1.0,0.0,0.0,1,12,Prison,both,Kern,State,0.0,0.0,1,12,Prison
Pleasant Valley,64,0,2,12,2,0.0,0.1666666666666666,0.0,1.0,8.0,0.0,2,12,Prison,both,Riverside,State,8.0,0.0,2,12,Prison
Solano,64,0,2,12,2,0.0,0.1666666666666666,0.0,1.0,2.0,0.0,2,12,Prison,both,Solano,State,2.0,0.0,2,12,Prison
Soledad,64,0,1,12,1,0.0,0.0833333333333333,0.0,1.0,0.0,0.0,1,12,Prison,both,Monterey,State,0.0,0.0,1,12,Prison
Valley State,64,1,1,12,2,0.0833333333333333,0.0833333333333333,0.5,0.5,0.0,0.0,2,12,Prison,both,Madera,State,0.0,0.0,2,12,Prison
CMC,55,0,1,14,1,0.0,0.0714285714285714,0.0,1.0,132.0,1.0,1,14,Prison,both,San Luis Obispo,State,132.0,1.0,1,14,Prison
CSATF,55,1,1,14,2,0.0714285714285714,0.0714285714285714,0.5,0.5,8.0,0.0,2,14,Prison,both,Kings,State,8.0,0.0,2,14,Prison
Calipatria,55,0,1,14,1,0.0,0.0714285714285714,0.0,1.0,24.0,0.0,1,14,Prison,both,Imperial,State,24.0,0.0,1,14,Prison
Centinela,55,0,1,14,1,0.0,0.0714285714285714,0.0,1.0,5.0,0.0,1,14,Prison,both,Imperial,State,5.0,0.0,1,14,Prison
Chowchilla,55,0,1,14,1,0.0,0.0714285714285714,0.0,1.0,21.0,0.0,1,14,Prison,both,Madera,State,21.0,0.0,1,14,Prison
Ironwood,55,0,1,14,1,0.0,0.0714285714285714,0.0,1.0,64.0,0.0,1,14,Prison,both,Riverside,State,64.0,0.0,1,14,Prison
Norco,55,0,1,14,1,0.0,0.0714285714285714,0.0,1.0,21.0,0.0,1,14,Prison,both,Riverside,State,21.0,0.0,1,14,Prison
SanQuentin,55,0,1,14,1,0.0,0.0714285714285714,0.0,1.0,2.0,0.0,1,14,Prison,both,Marin,State,2.0,0.0,1,14,Prison
Solano,55,0,1,14,1,0.0,0.0714285714285714,0.0,1.0,184.0,0.0,1,14,Prison,both,Solano,State,184.0,0.0,1,14,Prison
Soledad,55,0,2,14,2,0.0,0.1428571428571428,0.0,1.0,28.0,2.0,2,14,Prison,both,Monterey,State,28.0,2.0,2,14,Prison
Tehachapi,55,0,2,14,2,0.0,0.1428571428571428,0.0,1.0,106.0,0.0,2,14,Prison,both,Kern,State,106.0,0.0,2,14,Prison
CMC,56,3,3,11,6,0.2727272727272727,0.2727272727272727,0.5,0.5,108.0,12.0,6,11,Prison,both,San Luis Obispo,State,108.0,12.0,6,11,Prison
Calipatria,56,0,2,11,2,0.0,0.1818181818181818,0.0,1.0,40.0,0.0,2,11,Prison,both,Imperial,State,40.0,0.0,2,11,Prison
Ironwood,56,1,0,11,1,0.0909090909090909,0.0,1.0,0.0,205.0,0.0,1,11,Prison,both,Riverside,State,205.0,0.0,1,11,Prison
Tracy,56,0,2,11,2,0.0,0.1818181818181818,0.0,1.0,12.0,0.0,2,11,Prison,both,San Joaquin,State,12.0,0.0,2,11,Prison
CMC,58,0,7,16,7,0.0,0.4375,0.0,1.0,0.0,0.0,7,16,Prison,both,San Luis Obispo,State,0.0,0.0,7,16,Prison
Calipatria,58,0,2,16,2,0.0,0.125,0.0,1.0,46.0,0.0,2,16,Prison,both,Imperial,State,46.0,0.0,2,16,Prison
NorthKern,58,1,0,16,1,0.0625,0.0,1.0,0.0,2.0,0.0,1,16,Prison,both,Kern,State,2.0,0.0,1,16,Prison
Pleasant Valley,58,0,3,16,3,0.0,0.1875,0.0,1.0,3.0,0.0,3,16,Prison,both,Riverside,State,3.0,0.0,3,16,Prison
Soledad,58,0,1,16,1,0.0,0.0625,0.0,1.0,0.0,0.0,1,16,Prison,both,Monterey,State,0.0,0.0,1,16,Prison
Tehachapi,58,0,1,16,1,0.0,0.0625,0.0,1.0,8.0,0.0,1,16,Prison,both,Kern,State,8.0,0.0,1,16,Prison
Valley State,58,0,1,16,1,0.0,0.0625,0.0,1.0,1.0,0.0,1,16,Prison,both,Madera,State,1.0,0.0,1,16,Prison
CMC,59,0,3,11,3,0.0,0.2727272727272727,0.0,1.0,0.0,3.0,3,11,Prison,both,San Luis Obispo,State,0.0,3.0,3,11,Prison
Delano,59,0,3,11,3,0.0,0.2727272727272727,0.0,1.0,2544.0,99.0,3,11,Prison,both,Kern,State,2544.0,99.0,3,11,Prison
High Desert,59,1,0,11,1,0.0909090909090909,0.0,1.0,0.0,10.0,0.0,1,11,Prison,both,Lassen,State,10.0,0.0,1,11,Prison
Norco,59,0,1,11,1,0.0,0.0909090909090909,0.0,1.0,0.0,0.0,1,11,Prison,both,Riverside,State,0.0,0.0,1,11,Prison
Pleasant Valley,59,0,1,11,1,0.0,0.0909090909090909,0.0,1.0,1.0,0.0,1,11,Prison,both,Riverside,State,1.0,0.0,1,11,Prison
Valley State,59,0,1,11,1,0.0,0.0909090909090909,0.0,1.0,7.0,0.0,1,11,Prison,both,Madera,State,7.0,0.0,1,11,Prison
Wasco,59,0,1,11,1,0.0,0.0909090909090909,0.0,1.0,16.0,0.0,1,11,Prison,both,Kern,State,16.0,0.0,1,11,Prison
CMC,60,0,6,26,6,0.0,0.2307692307692307,0.0,1.0,0.0,0.0,6,26,Prison,both,San Luis Obispo,State,0.0,0.0,6,26,Prison
Calipatria,60,0,2,26,2,0.0,0.0769230769230769,0.0,1.0,10.0,0.0,2,26,Prison,both,Imperial,State,10.0,0.0,2,26,Prison
Centinela,60,0,1,26,1,0.0,0.0384615384615384,0.0,1.0,0.0,0.0,1,26,Prison,both,Imperial,State,0.0,0.0,1,26,Prison
High Desert,60,0,1,26,1,0.0,0.0384615384615384,0.0,1.0,0.0,0.0,1,26,Prison,both,Lassen,State,0.0,0.0,1,26,Prison
Pleasant Valley,60,2,2,26,4,0.0769230769230769,0.0769230769230769,0.5,0.5,0.0,0.0,4,26,Prison,both,Riverside,State,0.0,0.0,4,26,Prison
Solano,60,1,1,26,2,0.0384615384615384,0.0384615384615384,0.5,0.5,0.0,0.0,2,26,Prison,both,Solano,State,0.0,0.0,2,26,Prison
Tracy,60,0,3,26,3,0.0,0.1153846153846153,0.0,1.0,0.0,0.0,3,26,Prison,both,San Joaquin,State,0.0,0.0,3,26,Prison
Valley State,60,0,3,26,3,0.0,0.1153846153846153,0.0,1.0,0.0,0.0,3,26,Prison,both,Madera,State,0.0,0.0,3,26,Prison
Wasco,60,1,3,26,4,0.0384615384615384,0.1153846153846153,0.25,0.75,60.0,0.0,4,26,Prison,both,Kern,State,60.0,0.0,4,26,Prison
CMC,68,0,1,51,1,0.0,0.0196078431372549,0.0,1.0,0.0,0.0,1,51,Prison,both,San Luis Obispo,State,0.0,0.0,1,51,Prison
Centinela,68,0,1,51,1,0.0,0.0196078431372549,0.0,1.0,0.0,0.0,1,51,Prison,both,Imperial,State,0.0,0.0,1,51,Prison
Corcoran,68,0,1,51,1,0.0,0.0196078431372549,0.0,1.0,1.0,0.0,1,51,Prison,both,Kings,State,1.0,0.0,1,51,Prison
Delano,68,0,1,51,1,0.0,0.0196078431372549,0.0,1.0,235.0,3.0,1,51,Prison,both,Kern,State,235.0,3.0,1,51,Prison
Donovan,68,1,4,51,5,0.0196078431372549,0.0784313725490196,0.2,0.8,0.0,0.0,5,51,Prison,both,San Diego,State,0.0,0.0,5,51,Prison
Jamestown,68,0,1,51,1,0.0,0.0196078431372549,0.0,1.0,1.0,0.0,1,51,Prison,both,Tuolumne,State,1.0,0.0,1,51,Prison
Mule Creek,68,0,3,51,3,0.0,0.0588235294117647,0.0,1.0,3.0,0.0,3,51,Prison,both,Amador,State,3.0,0.0,3,51,Prison
NewFolsom,68,0,8,51,8,0.0,0.1568627450980392,0.0,1.0,0.0,0.0,8,51,Prison,both,Sacramento,State,0.0,0.0,8,51,Prison
