Facility Name,Week Number,Positive_Count,Negative_Count,All Facilities Weekly Count,Specific Facility Weekly Count,All Facilities Weekly Positive Ratio,All Facilities Weekly Negative Ratio,Specific Facility Positive Ratio,Specific Facility Negative Ratio
Soledad,58,0,1,16,1,0.0,0.0625,0.0,1.0
Tehachapi,58,0,1,16,1,0.0,0.0625,0.0,1.0
Valley State,58,0,1,16,1,0.0,0.0625,0.0,1.0
CMC,59,0,3,11,3,0.0,0.2727272727272730,0.0,1.0
Delano,59,0,3,11,3,0.0,0.2727272727272730,0.0,1.0
High Desert,59,1,0,11,1,0.09090909090909090,0.0,1.0,0.0
Norco,59,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
Pleasant Valley,59,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
Valley State,59,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
Wasco,59,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
CMC,60,0,6,26,6,0.0,0.23076923076923100,0.0,1.0
Calipatria,60,0,2,26,2,0.0,0.07692307692307690,0.0,1.0
Centinela,60,0,1,26,1,0.0,0.038461538461538500,0.0,1.0
High Desert,60,0,1,26,1,0.0,0.038461538461538500,0.0,1.0
Pleasant Valley,60,2,2,26,4,0.07692307692307690,0.07692307692307690,0.5,0.5
Solano,60,1,1,26,2,0.038461538461538500,0.038461538461538500,0.5,0.5
Tracy,60,0,3,26,3,0.0,0.11538461538461500,0.0,1.0
Valley State,60,0,3,26,3,0.0,0.11538461538461500,0.0,1.0
Wasco,60,1,3,26,4,0.038461538461538500,0.11538461538461500,0.25,0.75
CMC,68,0,1,51,1,0.0,0.0196078431372549,0.0,1.0
Centinela,68,0,1,51,1,0.0,0.0196078431372549,0.0,1.0
Corcoran,68,0,1,51,1,0.0,0.0196078431372549,0.0,1.0
Delano,68,0,1,51,1,0.0,0.0196078431372549,0.0,1.0
Donovan,68,1,4,51,5,0.0196078431372549,0.0784313725490196,0.2,0.8
Jamestown,68,0,1,51,1,0.0,0.0196078431372549,0.0,1.0
Mule Creek,68,0,3,51,3,0.0,0.058823529411764700,0.0,1.0
NewFolsom,68,0,8,51,8,0.0,0.1568627450980390,0.0,1.0
Orange_Central,68,0,4,51,4,0.0,0.0784313725490196,0.0,1.0
Orange_TheoLacy,68,1,10,51,11,0.0196078431372549,0.19607843137254900,0.09090909090909090,0.9090909090909090
PelicanBay,68,1,2,51,3,0.0196078431372549,0.0392156862745098,0.3333333333333330,0.6666666666666670
SalinasValley,68,0,7,51,7,0.0,0.13725490196078400,0.0,1.0
Stockton,68,0,1,51,1,0.0,0.0196078431372549,0.0,1.0
Susanville,68,1,1,51,2,0.0196078431372549,0.0196078431372549,0.5,0.5
Tehachapi,68,0,1,51,1,0.0,0.0196078431372549,0.0,1.0
Wasco,68,0,1,51,1,0.0,0.0196078431372549,0.0,1.0
CSATF,47,0,1,10,1,0.0,0.1,0.0,1.0
Centinela,47,0,1,10,1,0.0,0.1,0.0,1.0
