Facility Name,Week Number,Specific_Facility_Case_Number,Specific_Facility_Case_Rate,Specific_Facility_Death_Number,Specific_Facility_Death_Rate,Type,Total_Case_Rate,Total_Death_Rate
Lancaster,63,1.0,0.0003732736095558,0.0,0.0,Prison,0.0071686194607795,0.0
CIW,63,2.0,0.0017406440382941,0.0,0.0,Prison,0.0071686194607795,0.0
CMC,63,0.0,0.0,0.0,0.0,Prison,0.0071686194607795,0.0
High Desert,63,1.0,0.0004189359028068,0.0,0.0,Prison,0.0071686194607795,0.0
Jamestown,63,4.0,0.0002344665885111,0.0,0.0,Prison,0.0071686194607795,0.0
Pleasant Valley,63,0.0,0.0,0.0,0.0,Prison,0.0071686194607795,0.0
SalinasValley,63,0.0,0.0,0.0,0.0,Prison,0.0071686194607795,0.0
Stockton,63,4.0,0.0004428697962798,0.0,0.0,Prison,0.0071686194607795,0.0
Tracy,63,0.0,0.0,0.0,0.0,Prison,0.0071686194607795,0.0
Valley State,63,0.0,0.0,0.0,0.0,Prison,0.0071686194607795,0.0
Wasco,63,6.0,0.0005524861878453,0.0,0.0,Prison,0.0071686194607795,0.0
Donovan,48,396.0,0.0601640838650866,0.0,0.0,Prison,0.5859569621704170,0.0007301615467435000
Chowchilla,48,3.0,0.0013100436681222,0.0,0.0,Prison,0.5859569621704170,0.0007301615467435000
Lancaster,48,86.0,0.0321015304217992,1.0,0.0003732736095558,Prison,0.5859569621704170,0.0007301615467435000
SanQuentin,48,0.0,0.0,0.0,0.0,Prison,0.5859569621704170,0.0007301615467435000
Chuckawalla,48,3.0,0.0014844136566056,0.0,0.0,Prison,0.5859569621704170,0.0007301615467435000
CIW,48,74.0,0.0322019147084421,0.0,0.0,Prison,0.5859569621704170,0.0007301615467435000
Centinela,48,322.0,0.114917915774447,1.0,0.0003568879371877,Prison,0.5859569621704170,0.0007301615467435000
Chino,48,3.0,0.0012652889076339,0.0,0.0,Prison,0.5859569621704170,0.0007301615467435000
Tehachapi,48,429.0,0.0833819241982507,0.0,0.0,Prison,0.5859569621704170,0.0007301615467435000
Donovan,68,0.0,0.0,0.0,0.0,Prison,0.007229409659475,4.50502082474098E-05
NewFolsom,68,0.0,0.0,0.0,0.0,Prison,0.007229409659475,4.50502082474098E-05
Corcoran,68,1.0,0.0002853067047075,0.0,0.0,Prison,0.007229409659475,4.50502082474098E-05
Mule Creek,68,3.0,0.0002629503023928,0.0,0.0,Prison,0.007229409659475,4.50502082474098E-05
CMC,68,0.0,0.0,0.0,0.0,Prison,0.007229409659475,4.50502082474098E-05
Jamestown,68,1.0,0.0002344665885111,0.0,0.0,Prison,0.007229409659475,4.50502082474098E-05
SalinasValley,68,0.0,0.0,0.0,0.0,Prison,0.007229409659475,4.50502082474098E-05
Stockton,68,2.0,0.0008857395925597,0.0,0.0,Prison,0.007229409659475,4.50502082474098E-05
Wasco,68,1.0,0.0002762430939226,0.0,0.0,Prison,0.007229409659475,4.50502082474098E-05
Orange_Central,68,2240.0,0.0001734541441447,36.0,2.78765588804031E-06,Jail,0.007229409659475,4.50502082474098E-05
PelicanBay,68,3.0,0.0006345177664974,0.0,0.0,Prison,0.007229409659475,4.50502082474098E-05
Centinela,68,0.0,0.0,0.0,0.0,Prison,0.007229409659475,4.50502082474098E-05
Tehachapi,68,0.0,0.0,0.0,0.0,Prison,0.007229409659475,4.50502082474098E-05
Delano,68,235.0,0.000253437310933,3.0,3.23536992680515E-06,Prison,0.007229409659475,4.50502082474098E-05
Orange_TheoLacy,68,6160.0,0.0001734541441447,99.0,2.78765588804031E-06,Jail,0.007229409659475,4.50502082474098E-05
Susanville,68,0.0,0.0,0.0,0.0,Prison,0.007229409659475,4.50502082474098E-05
Donovan,53,156.0,0.0158006684898207,12.0,0.0012154360376785,Prison,0.2618595226152160,0.0092368042695693
Vacaville,53,78.0,0.0234515935057126,0.0,0.0,Prison,0.2618595226152160,0.0092368042695693
Soledad,53,750.0,0.0291171674819474,24.0,0.0009317493594223,Prison,0.2618595226152160,0.0092368042695693
Mule Creek,53,62.0,0.0163029187483566,0.0,0.0,Prison,0.2618595226152160,0.0092368042695693
CSATF,53,0.0,0.0,0.0,0.0,Prison,0.2618595226152160,0.0092368042695693
Folsom,53,0.0,0.0,0.0,0.0,Prison,0.2618595226152160,0.0092368042695693
Donovan,54,10.0,0.0015192950470981,2.0,0.0003038590094196,Prison,0.138530658931428,0.00216310506093
Vacaville,54,56.0,0.0168370414912808,1.0,0.0003006614552014,Prison,0.138530658931428,0.00216310506093
Chowchilla,54,48.0,0.0209606986899563,0.0,0.0,Prison,0.138530658931428,0.00216310506093
Soledad,54,244.0,0.0284183554623806,2.0,0.0002329373398555,Prison,0.138530658931428,0.00216310506093
Mule Creek,54,96.0,0.0084144096765711,3.0,0.0002629503023928,Prison,0.138530658931428,0.00216310506093
Tehachapi,54,25.0,0.0145772594752187,0.0,0.0,Prison,0.138530658931428,0.00216310506093
CSATF,54,5.0,0.0002074258452603,0.0,0.0,Prison,0.138530658931428,0.00216310506093
Donovan,65,0.0,0.0,0.0,0.0,Prison,0.0004428697962798,0.0
Solano,65,0.0,0.0,0.0,0.0,Prison,0.0004428697962798,0.0
Norco,65,0.0,0.0,0.0,0.0,Prison,0.0004428697962798,0.0
Stockton,65,1.0,0.0004428697962798,0.0,0.0,Prison,0.0004428697962798,0.0
Valley State,65,0.0,0.0,0.0,0.0,Prison,0.0004428697962798,0.0
Wasco,65,0.0,0.0,0.0,0.0,Prison,0.0004428697962798,0.0
Centinela,65,0.0,0.0,0.0,0.0,Prison,0.0004428697962798,0.0
CSATF,65,0.0,0.0,0.0,0.0,Prison,0.0004428697962798,0.0
Calipatria,65,0.0,0.0,0.0,0.0,Prison,0.0004428697962798,0.0
Donovan,69,0.0,0.0,0.0,0.0,Prison,0.0069635820710667,3.0973954311559E-06
NewFolsom,69,6.0,0.0005431830526887,0.0,0.0,Prison,0.0069635820710667,3.0973954311559E-06
Solano,69,1.0,0.0002689618074233,0.0,0.0,Prison,0.0069635820710667,3.0973954311559E-06
Vacaville,69,8.0,0.0003006614552014,0.0,0.0,Prison,0.0069635820710667,3.0973954311559E-06
Corcoran,69,1.0,0.0002853067047075,0.0,0.0,Prison,0.0069635820710667,3.0973954311559E-06
Mule Creek,69,0.0,0.0,0.0,0.0,Prison,0.0069635820710667,3.0973954311559E-06
SalinasValley,69,0.0,0.0,0.0,0.0,Prison,0.0069635820710667,3.0973954311559E-06
Valley State,69,0.0,0.0,0.0,0.0,Prison,0.0069635820710667,3.0973954311559E-06
Orange_Central,69,481.0,0.0001489847202385,2.0,6.19479086231179E-07,Jail,0.0069635820710667,3.0973954311559E-06
PelicanBay,69,0.0,0.0,0.0,0.0,Prison,0.0069635820710667,3.0973954311559E-06
KernValley,69,0.0,0.0,0.0,0.0,Prison,0.0069635820710667,3.0973954311559E-06
Orange_TheoLacy,69,1924.0,0.0001489847202385,8.0,6.19479086231179E-07,Jail,0.0069635820710667,3.0973954311559E-06
Susanville,69,0.0,0.0,0.0,0.0,Prison,0.0069635820710667,3.0973954311559E-06
Folsom,69,0.0,0.0,0.0,0.0,Prison,0.0069635820710667,3.0973954311559E-06
CaliforniaCity,69,0.0,0.0,0.0,0.0,Prison,0.0069635820710667,3.0973954311559E-06
Donovan,39,0.0,0.0,0.0,0.0,Prison,0.0,0.0
NewFolsom,75,2.0,0.0005431830526887,0.0,0.0,Prison,0.0177725818665966,0.0002917170587627550
CaliforniaCity,75,0.0,0.0,0.0,0.0,Prison,0.0177725818665966,0.0002917170587627550
Riverside_Smith,75,30888.0,0.0001158764983418,540.0,2.02581290807469E-06,Jail,0.0177725818665966,0.0002917170587627550
Riverside_Blythe,75,10296.0,0.0001158764983418,180.0,2.02581290807469E-06,Jail,0.0177725818665966,0.0002917170587627550
NewFolsom,67,0.0,0.0,0.0,0.0,Prison,0.0016270750234186,3.03544752253278E-05
Soledad,67,1.0,0.0002329373398555,0.0,0.0,Prison,0.0016270750234186,3.03544752253278E-05
Valley State,67,0.0,0.0,0.0,0.0,Prison,0.0016270750234186,3.03544752253278E-05
Orange_Central,67,1929.0,0.0001991625262233,42.0,4.33635360361825E-06,Jail,0.0016270750234186,3.03544752253278E-05
Centinela,67,0.0,0.0,0.0,0.0,Prison,0.0016270750234186,3.03544752253278E-05
Orange_TheoLacy,67,2572.0,0.0001991625262233,56.0,4.33635360361825E-06,Jail,0.0016270750234186,3.03544752253278E-05
NewFolsom,71,1.0,0.0005431830526887,0.0,0.0,Prison,0.0016900194417883,2.78765588804031E-06
Chowchilla,71,0.0,0.0,0.0,0.0,Prison,0.0016900194417883,2.78765588804031E-06
Orange_Central,71,329.0,0.000101904309685,9.0,2.78765588804031E-06,Jail,0.0016900194417883,2.78765588804031E-06
KernValley,71,3.0,0.0003483106931382,0.0,0.0,Prison,0.0016900194417883,2.78765588804031E-06
NewFolsom,99,0.0,0.0,0.0,0.0,Prison,0.0,0.0
NewFolsom,110,40.0,0.0108636610537751,0.0,0.0,Prison,0.0321299222493482,5.89555216166012E-05
SantaClara_Elmwood,110,20468.0,0.0026006500354495,116.0,1.47388804041503E-05,Jail,0.0321299222493482,5.89555216166012E-05
Solano,87,15.0,0.0040344271113501,0.0,0.0,Prison,0.040414394028891100,0.0005384507012574150
Amador_Main,87,118.0,0.0030624691806597,3.0,7.78593859489762E-05,Jail,0.040414394028891100,0.0005384507012574150
Fresno_Main,87,9774.0,0.0031562824843760000,114.0,3.68136078595115E-05,Jail,0.040414394028891100,0.0005384507012574150
LosAngeles_Metropolitan,87,113744.0,0.0013861000236216,1760.0,2.14476019972397E-05,Jail,0.040414394028891100,0.0005384507012574150
SanJoaquin_Main,87,6294.0,0.0026809959810617000,120.0,5.11152713262496E-05,Jail,0.040414394028891100,0.0005384507012574150
Yuba,87,374.0,0.0047168621515954,2.0,2.52238617732375E-05,Jail,0.040414394028891100,0.0005384507012574150
Solano,50,420.0,0.0376546530392684,0.0,0.0,Prison,0.6644420148833010,0.0009317493594222
Chowchilla,50,14.0,0.0061135371179039,0.0,0.0,Prison,0.6644420148833010,0.0009317493594222
Soledad,50,556.0,0.0647565804798509,4.0,0.0004658746797111,Prison,0.6644420148833010,0.0009317493594222
CIW,50,14.0,0.0060922541340295,0.0,0.0,Prison,0.6644420148833010,0.0009317493594222
Chino,50,18.0,0.0037958667229017,0.0,0.0,Prison,0.6644420148833010,0.0009317493594222
Tehachapi,50,675.0,0.0787172011661808,0.0,0.0,Prison,0.6644420148833010,0.0009317493594222
CSATF,50,12.0,0.0012445550715619,0.0,0.0,Prison,0.6644420148833010,0.0009317493594222
Solano,51,302.0,0.0406132329209252,0.0,0.0,Prison,0.4709726102774180,0.0008683970837162
Vacaville,51,151.0,0.0453998797354179,0.0,0.0,Prison,0.4709726102774180,0.0008683970837162
Chowchilla,51,516.0,0.0751091703056769,0.0,0.0,Prison,0.4709726102774180,0.0008683970837162
SanQuentin,51,0.0,0.0,0.0,0.0,Prison,0.4709726102774180,0.0008683970837162
Soledad,51,124.0,0.0288842301420918,0.0,0.0,Prison,0.4709726102774180,0.0008683970837162
Corcoran,51,112.0,0.0319543509272468,1.0,0.0002853067047075,Prison,0.4709726102774180,0.0008683970837162
CIW,51,0.0,0.0,0.0,0.0,Prison,0.4709726102774180,0.0008683970837162
Chino,51,102.0,0.0143399409531843,0.0,0.0,Prison,0.4709726102774180,0.0008683970837162
Tehachapi,51,26.0,0.0151603498542274,1.0,0.0005830903790087,Prison,0.4709726102774180,0.0008683970837162
Solano,64,2.0,0.0002689618074233,0.0,0.0,Prison,0.0052891268764008,0.0
Chowchilla,64,2.0,0.0008733624454148,0.0,0.0,Prison,0.0052891268764008,0.0
Soledad,64,0.0,0.0,0.0,0.0,Prison,0.0052891268764008,0.0
CIW,64,1.0,0.000870322019147,0.0,0.0,Prison,0.0052891268764008,0.0
Pleasant Valley,64,8.0,0.0015037593984962,0.0,0.0,Prison,0.0052891268764008,0.0
Valley State,64,0.0,0.0,0.0,0.0,Prison,0.0052891268764008,0.0
CSATF,64,0.0,0.0,0.0,0.0,Prison,0.0052891268764008,0.0
Calipatria,64,0.0,0.0,0.0,0.0,Prison,0.0052891268764008,0.0
KernValley,64,0.0,0.0,0.0,0.0,Prison,0.0052891268764008,0.0
Solano,55,184.0,0.0494889725658956,0.0,0.0,Prison,0.231969016183409,0.0009501361809216
Chowchilla,55,21.0,0.0091703056768558,0.0,0.0,Prison,0.231969016183409,0.0009501361809216
SanQuentin,55,2.0,0.0005733944954128,0.0,0.0,Prison,0.231969016183409,0.0009501361809216
Soledad,55,28.0,0.0032611227579781,2.0,0.0002329373398555,Prison,0.231969016183409,0.0009501361809216
Norco,55,21.0,0.0071942446043165,0.0,0.0,Prison,0.231969016183409,0.0009501361809216
Ironwood,55,64.0,0.0209767289413307,0.0,0.0,Prison,0.231969016183409,0.0009501361809216
CMC,55,132.0,0.0639225181598063,1.0,0.0004842615012106,Prison,0.231969016183409,0.0009501361809216
Centinela,55,5.0,0.0017844396859386,0.0,0.0,Prison,0.231969016183409,0.0009501361809216
Tehachapi,55,106.0,0.0309037900874636,0.0,0.0,Prison,0.231969016183409,0.0009501361809216
CSATF,55,8.0,0.0008297033810412,0.0,0.0,Prison,0.231969016183409,0.0009501361809216
Calipatria,55,24.0,0.0088691796008869,0.0,0.0,Prison,0.231969016183409,0.0009501361809216
Solano,60,0.0,0.0,0.0,0.0,Prison,0.0202700771357282,0.0
CMC,60,0.0,0.0,0.0,0.0,Prison,0.0202700771357282,0.0
High Desert,60,0.0,0.0,0.0,0.0,Prison,0.0202700771357282,0.0
Pleasant Valley,60,0.0,0.0,0.0,0.0,Prison,0.0202700771357282,0.0
Tracy,60,0.0,0.0,0.0,0.0,Prison,0.0202700771357282,0.0
Valley State,60,0.0,0.0,0.0,0.0,Prison,0.0202700771357282,0.0
Wasco,60,60.0,0.0041436464088397,0.0,0.0,Prison,0.0202700771357282,0.0
Centinela,60,0.0,0.0,0.0,0.0,Prison,0.0202700771357282,0.0
Calipatria,60,10.0,0.0018477457501847,0.0,0.0,Prison,0.0202700771357282,0.0
Solano,62,0.0,0.0,0.0,0.0,Prison,0.0007913121192482,0.0
High Desert,62,0.0,0.0,0.0,0.0,Prison,0.0007913121192482,0.0
Jamestown,62,0.0,0.0,0.0,0.0,Prison,0.0007913121192482,0.0
Pleasant Valley,62,0.0,0.0,0.0,0.0,Prison,0.0007913121192482,0.0
Tracy,62,0.0,0.0,0.0,0.0,Prison,0.0007913121192482,0.0
Chino,62,1.0,0.0004217629692113,0.0,0.0,Prison,0.0007913121192482,0.0
Calipatria,62,1.0,0.0003695491500369,0.0,0.0,Prison,0.0007913121192482,0.0
Solano,31,0.0,0.0,0.0,0.0,Prison,0.0,0.0
Solano,41,0.0,0.0,0.0,0.0,Prison,0.0,0.0
Vacaville,41,0.0,0.0,0.0,0.0,Prison,0.0,0.0
Tulare_BobWiley,88,1702.0,0.0035134582792311,22.0,4.54148543731408E-05,Jail,0.1643813692794130,0.0031167303175581400
Fresno_Main,88,5826.0,0.0028220536761778,102.0,4.94077368640813E-05,Jail,0.1643813692794130,0.0031167303175581400
LosAngeles_Metropolitan,88,48112.0,0.001172598894649,764.0,1.86204180976036E-05,Jail,0.1643813692794130,0.0031167303175581400
SanJoaquin_Main,88,8615.0,0.0022017903123782,185.0,4.72816259767809E-05,Jail,0.1643813692794130,0.0031167303175581400
Merced_Latorraca,88,15822.0,0.0030582422935077,306.0,5.91468930485005E-05,Jail,0.1643813692794130,0.0031167303175581400
Merced_USPAtwater,88,23733.0,0.0030582422935077000,459.0,5.91468930485005E-05,Prison,0.1643813692794130,0.0031167303175581400
PelicanBay,88,3.0,0.0019035532994923,0.0,0.0,Prison,0.1643813692794130,0.0031167303175581400
Tulare_BobWiley,113,316.0,0.0006523224537232,9.0,1.85788040617394E-05,Jail,0.0006523224537232,1.85788040617394E-05
Ventura_Main,105,69536.0,0.0203858823308672,88.0,2.57989767187689E-05,Jail,0.2123894415024650,0.00046600766544267000
Merced_Main,105,32463.0,0.0125495790132907,99.0,3.82715190313826E-05,Jail,0.2123894415024650,0.00046600766544267000
Butte_Main,105,3898.0,0.0089498505296897,4.0,9.18404364257539E-06,Jail,0.2123894415024650,0.00046600766544267000
Ventura_Main,103,17868.0,0.00523836495467,28.0,8.20876531960828E-06,Jail,0.0503295731759168,7.34940417036752E-05
SantaClara_Elmwood,103,28900.0,0.0036720141696546,40.0,5.08237255315526E-06,Jail,0.0503295731759168,7.34940417036752E-05
SantaClara_Main,103,28900.0,0.0036720141696546,40.0,5.08237255315526E-06,Jail,0.0503295731759168,7.34940417036752E-05
Ventura_Main,102,6640.0,0.0019466500615071,36.0,1.05541268394964E-05,Jail,0.0077866002460284,4.22165073579856E-05
Ventura_Todd,100,3356.0,0.000983879157593,20.0,5.8634037997202E-06,Jail,0.0118444530185602,0.00011008018436902800
SantaClara_Elmwood,100,13080.0,0.0008309679124408,96.0,6.09884706378632E-06,Jail,0.0118444530185602,0.00011008018436902800
Yuba,100,100.0,0.0012611930886618,3.0,3.78357926598562E-05,Jail,0.0118444530185602,0.00011008018436902800
LosAngeles_MensCentral,92,6683.0,0.0006515196552161,111.0,1.08212900986073E-05,Jail,0.0274599158499876,0.0005692789065114790
Fresno_Main,92,1923.0,0.0018629623135221,31.0,3.00321537801278E-05,Jail,0.0274599158499876,0.0005692789065114790
Merced_Main,92,4599.0,0.0017778860204578,99.0,3.82715190313826E-05,Jail,0.0274599158499876,0.0005692789065114790
PelicanBay,92,0.0,0.0,0.0,0.0,Prison,0.0274599158499876,0.0005692789065114790
LosAngeles_TwinTowers,92,53464.0,0.0006515196552161,888.0,1.08212900986073E-05,Jail,0.0274599158499876,0.0005692789065114790
SanBernardino_Central,92,8276.0,0.0009330756138501,216.0,2.43528676403605E-05,Jail,0.0274599158499876,0.0005692789065114790
LosAngeles_MensCentral,91,15858.0,0.0007729910738005,258.0,1.25760938983815E-05,Jail,0.001545982147601,2.5152187796763E-05
Vacaville,45,5.0,0.0015033072760072,0.0,0.0,Prison,0.0609281899290984,0.0
Avenal,45,15.0,0.001088850174216,0.0,0.0,Prison,0.0609281899290984,0.0
Lancaster,45,2.0,0.0007465472191116,0.0,0.0,Prison,0.0609281899290984,0.0
SanQuentin,45,0.0,0.0,0.0,0.0,Prison,0.0609281899290984,0.0
Chuckawalla,45,110.0,0.0272142503711034,0.0,0.0,Prison,0.0609281899290984,0.0
Ironwood,45,3.0,0.0009832841691248,0.0,0.0,Prison,0.0609281899290984,0.0
Mule Creek,45,0.0,0.0,0.0,0.0,Prison,0.0609281899290984,0.0
Vacaville,47,9.0,0.0027059530968129,0.0,0.0,Prison,0.15268058514013600,0.0019308170939621300
Chowchilla,47,0.0,0.0,0.0,0.0,Prison,0.15268058514013600,0.0019308170939621300
Soledad,47,124.0,0.0288842301420918,1.0,0.0002329373398555,Prison,0.15268058514013600,0.0019308170939621300
Chuckawalla,47,3.0,0.0004948045522018,3.0,0.0004948045522018,Prison,0.15268058514013600,0.0019308170939621300
Centinela,47,22.0,0.0078515346181299,0.0,0.0,Prison,0.15268058514013600,0.0019308170939621300
Tehachapi,47,8.0,0.0046647230320699,0.0,0.0,Prison,0.15268058514013600,0.0019308170939621300
CSATF,47,507.0,0.105164903546982,1.0,0.0002074258452603,Prison,0.15268058514013600,0.0019308170939621300
Sonoma_Main,47,956.0,0.0019248270474441,3.0,6.04025224093358E-06,Jail,0.15268058514013600,0.0019308170939621300
Vacaville,85,4.0,0.0012026458208057,0.0,0.0,Prison,0.0034537769184912000,1.97113520442491E-05
FireCamps,85,90336.0,0.0022511310976855,791.0,1.97113520442491E-05,Department,0.0034537769184912000,1.97113520442491E-05
Vacaville,104,1.0,0.0003006614552014,0.0,0.0,Prison,0.014569182974617,4.128623124831E-05
Tulare_Main,104,6912.0,0.0035671303798539,20.0,1.03215578120775E-05,Jail,0.014569182974617,4.128623124831E-05
Vacaville,79,0.0,0.0,0.0,0.0,Prison,0.0,0.0
Amador_Main,89,113.0,0.0029327035374114,0.0,0.0,Jail,0.1892876336914530,0.002890147480147490
Fresno_Main,89,7686.0,0.0024820121930544,117.0,3.77823870137092E-05,Jail,0.1892876336914530,0.002890147480147490
LosAngeles_Metropolitan,89,41592.0,0.0010136916616695,604.0,1.47208540981054E-05,Jail,0.1892876336914530,0.002890147480147490
SanJoaquin_Main,89,1615.0,0.0020637790797973,39.0,4.98373895430934E-05,Jail,0.1892876336914530,0.002890147480147490
Avenal,89,0.0,0.0,0.0,0.0,Prison,0.1892876336914530,0.002890147480147490
Chowchilla,89,2.0,0.0008733624454148,0.0,0.0,Prison,0.1892876336914530,0.002890147480147490
Fresno_Mendota,89,2562.0,0.002482012193054,39.0,3.7782387014E-05,Prison,0.1892876336914530,0.002890147480147490
Merced_Latorraca,89,6957.0,0.0026894440192053,108.0,4.17507480342356E-05,Jail,0.1892876336914530,0.002890147480147490
Merced_Latorraca ,89,6957.0,0.0026894440192053,108.0,4.17507480342356E-05,Jail,0.1892876336914530,0.002890147480147490
Merced_Main,89,20871.0,0.0026894440192053,324.0,4.17507480342356E-05,Jail,0.1892876336914530,0.002890147480147490
Merced_USPAtwater,89,13914.0,0.0026894440192053,216.0,4.17507480342356E-05,Prison,0.1892876336914530,0.002890147480147490
Fresno_Main,86,6964.0,0.0033732890149162,84.0,4.06887244763022E-05,Jail,0.012969243220811200,0.0003858603445015560
Corcoran,86,3.0,0.0008559201141226,1.0,0.0002853067047075,Prison,0.012969243220811200,0.0003858603445015560
Norco,86,1.0,0.000342583076396,0.0,0.0,Prison,0.012969243220811200,0.0003858603445015560
Kings_Main,86,786.0,0.0050241620004602,3.0,1.91761908414513E-05,Jail,0.012969243220811200,0.0003858603445015560
Fresno_Main,90,2065.0,0.0020005289534181,46.0,4.45638410930929E-05,Jail,0.0284453001441301,0.0005165746148011850
Merced_Main,90,6489.0,0.0025085241110569,117.0,4.52299770370886E-05,Jail,0.0284453001441301,0.0005165746148011850
Stockton,90,2.0,0.0008857395925597,0.0,0.0,Prison,0.0284453001441301,0.0005165746148011850
PelicanBay,90,1.0,0.0006345177664974,0.0,0.0,Prison,0.0284453001441301,0.0005165746148011850
USP_Victorville,90,5206.0,0.0011738984160714,144.0,3.24704901871473E-05,Prison,0.0284453001441301,0.0005165746148011850
Yuba,84,341.0,0.0043006684323369,0.0,0.0,Jail,0.0043006684323369,0.0
Kern_GSAnnex,84,0.0,0.0,0.0,0.0,Prison,0.0043006684323369,0.0
Yuba,94,135.0,0.0017026106696935,1.0,1.26119308866187E-05,Jail,0.0017026106696935,1.26119308866187E-05
Avenal,43,3.0,0.0006533101045296,1.0,0.0002177700348432,Prison,0.0080147039097527,0.0002177700348432
Lancaster,43,1.0,0.0003732736095558,0.0,0.0,Prison,0.0080147039097527,0.0002177700348432
SanQuentin,43,0.0,0.0,0.0,0.0,Prison,0.0080147039097527,0.0002177700348432
Soledad,43,30.0,0.0069881201956673,0.0,0.0,Prison,0.0080147039097527,0.0002177700348432
Avenal,44,24.0,0.0017421602787456,0.0,0.0,Prison,0.26555081929709,0.002474022761009
SanQuentin,44,0.0,0.0,0.0,0.0,Prison,0.26555081929709,0.002474022761009
Chuckawalla,44,520.0,0.0514596734289955,5.0,0.0004948045522018,Prison,0.26555081929709,0.002474022761009
Corcoran,44,1.0,0.0002853067047075,0.0,0.0,Prison,0.26555081929709,0.002474022761009
Norco,44,8.0,0.0027406646111682,0.0,0.0,Prison,0.26555081929709,0.002474022761009
Avenal,72,0.0,0.0,0.0,0.0,Prison,7.43374903477415E-05,6.19479086231179E-07
Corcoran,72,0.0,0.0,0.0,0.0,Prison,7.43374903477415E-05,6.19479086231179E-07
Mule Creek,72,0.0,0.0,0.0,0.0,Prison,7.43374903477415E-05,6.19479086231179E-07
SalinasValley,72,0.0,0.0,0.0,0.0,Prison,7.43374903477415E-05,6.19479086231179E-07
Orange_Central,72,240.0,7.43374903477415E-05,2.0,6.19479086231179E-07,Jail,7.43374903477415E-05,6.19479086231179E-07
PelicanBay,72,0.0,0.0,0.0,0.0,Prison,7.43374903477415E-05,6.19479086231179E-07
Chowchilla,49,6.0,0.0026200873362445,0.0,0.0,Prison,0.5499371220178700,0.0016258330163522000
Lancaster,49,635.0,0.237028742067936,1.0,0.0003732736095558,Prison,0.5499371220178700,0.0016258330163522000
Chuckawalla,49,6.0,0.0014844136566056,2.0,0.0004948045522018,Prison,0.5499371220178700,0.0016258330163522000
Mule Creek,49,365.0,0.0959768603733894,1.0,0.0002629503023928,Prison,0.5499371220178700,0.0016258330163522000
CIW,49,74.0,0.0322019147084421,0.0,0.0,Prison,0.5499371220178700,0.0016258330163522000
Chino,49,0.0,0.0,0.0,0.0,Prison,0.5499371220178700,0.0016258330163522000
Tehachapi,49,252.0,0.0122448979591837,0.0,0.0,Prison,0.5499371220178700,0.0016258330163522000
