Filename,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment
Butte_Main_20220105_13697_Infection1_Stress1.txt,0.123,0.703,0.173,0.932
Butte_Main_20220105_13697_Programs.txt,0.01,0.901,0.089,0.9384
Butte_Main_20220105_13697_Stress2_Family.txt,0.144,0.67,0.186,0.7689
Butte_Main_20220105_13697_Stress3_PrisonConditions.txt,0.097,0.849,0.054,-0.8131
Butte_Main_20220105_13697_Stress4_Infection2.txt,0.09,0.767,0.143,0.9819
Butte_Main_20220105_59841_Family_Stress.txt,0.057,0.778,0.165,0.9911
Butte_Main_20220105_59841_FULL.txt,0.081,0.697,0.222,0.9999
Butte_Main_20220105_59841_PrisonConditions.txt,0.113,0.728,0.159,0.9559
CaliforniaCity_20210426_816_Full_ProgramsFamily.txt,0.018,0.778,0.203,0.9971
CaliforniaCity_20210426_860_FULL.txt,0.079,0.779,0.142,0.9987
CaliforniaCity_20210426_860_PrisonConditionsFamilyInfection1.txt,0.091,0.795,0.115,0.8043
CaliforniaCity_20210426_860_PrisonConditionsFamilyInfection2.txt,0.062,0.834,0.104,0.9796
CaliforniaCity_20210426_860_StressPrisonConditionsPrograms.txt,0.088,0.704,0.208,0.9953
CaliforniaCity_20210428_851_FULL.txt,0.092,0.808,0.1,0.744
CaliforniaCity_20210428_851_PrisonConditionsInfection.txt,0.121,0.854,0.025,-0.9949
CaliforniaCity_20210428_851_ProgramsStressInfection.txt,0.065,0.783,0.152,0.9925
CaliforniaCity_20210428_855_FULL.txt,0.055,0.851,0.093,0.9797
CaliforniaCity_20210428_855_ProgramsPrisonConditions.txt,0.037,0.915,0.048,0.354
CaliforniaCity_20210428_855_ProgramsPrisonConditionsFamily.txt,0.063,0.854,0.082,0.7172
CaliforniaCity_20210505_1771_FULL.txt,0.051,0.747,0.202,0.9973
CaliforniaCity_20210528_1542_FULL_Family_Stress.txt,0.189,0.682,0.129,-0.9485
CaliforniaCity_20210604_821_FULL_Programs_Infection.txt,0.073,0.801,0.126,0.9571
CaliforniaCity_20210609_844_Family2_Stress_Programs1.txt,0.048,0.773,0.179,0.9819
CaliforniaCity_20210609_844_Family_PrisonConditions.txt,0.045,0.736,0.22,0.999
CaliforniaCity_20210609_844_FULL.txt,0.044,0.747,0.209,0.9999
CaliforniaCity_20210609_844_Infection.txt,0.071,0.796,0.133,0.9507
CaliforniaCity_20210609_844_Programs.txt,0.033,0.805,0.162,0.9837
CaliforniaCity_20210617_624_FULL.txt,0.029,0.89,0.082,0.9985
CaliforniaCity_20210617_624_PrisonConditions2_Infection.txt,0.009,0.903,0.088,0.9493
CaliforniaCity_20210617_624_Programs2.txt,0.025,0.902,0.073,0.9571
CaliforniaCity_20210617_624_Programs_PrisonConditions.txt,0.026,0.941,0.033,-0.3497
CaliforniaCity_20210617_714_Family_Programs.txt,0.109,0.768,0.123,0.7941
CaliforniaCity_20210617_714_FULL.txt,0.06,0.778,0.162,0.9996
CaliforniaCity_20210617_714_Infection1_PrisonConditions.txt,0.084,0.842,0.075,-0.9069
CaliforniaCity_20210617_714_Stress1_Programs2.txt,0.048,0.836,0.116,0.9667
CaliforniaCity_20210617_714_Stress2_Infection.txt,0.063,0.77,0.167,0.996
CaliforniaCity_20210623_1123_FULL.txt,0.122,0.676,0.202,0.9566
Calipatria_ 20210208_351_Full.txt,0.116,0.706,0.178,0.978
Calipatria_ 20210208_351_Stress.txt,0.093,0.779,0.128,0.6151
Calipatria_20210122_06_48_Family.txt,0.069,0.858,0.073,-0.3056
Calipatria_20210122_06_48_FULL.txt,0.042,0.794,0.163,0.9998
Calipatria_20210122_06_48_Infection.txt,0.098,0.732,0.17,0.9541
Calipatria_20210122_06_48_PrisonConditions1.txt,0.051,0.781,0.168,0.9965
Calipatria_20210122_06_48_PrisonConditions2.txt,0.04,0.818,0.142,0.9927
Calipatria_20210122_06_48_Stress_Programs.txt,0.041,0.837,0.122,0.968
Calipatria_20210124_314_FULL.txt,0.097,0.651,0.252,0.9987
Calipatria_20210124_314_Infections_Family.txt,0.131,0.701,0.168,0.963
Calipatria_20210125_313_FULL.txt,0.149,0.719,0.132,-0.9235
Calipatria_20210125_313_PrisonConditions_Infections.txt,0.163,0.715,0.122,-0.976
Calipatria_20210127_335_Family_Stress.txt,0.106,0.776,0.118,0.0548
Calipatria_20210127_335_FULL.txt,0.103,0.719,0.178,0.9962
Calipatria_20210127_335_Infections.txt,0.081,0.809,0.11,0.5771
Calipatria_20210127_335_PrisonConditions_Stress_Feature.txt,0.08,0.818,0.102,0.5687
Calipatria_20210129_309_FULL_Infection_Stress.txt,0.051,0.851,0.099,0.9557
Calipatria_20210129_369_FULL_PrisonConditions_Stress.txt,0.107,0.719,0.174,0.9892
Calipatria_20210201_374_FULL_Infection.txt,0.067,0.777,0.156,0.9796
Calipatria_20210201_376_FULL_Family_Programs.txt,0.082,0.769,0.149,0.989
Calipatria_20210203_383_FULL.txt,0.194,0.673,0.133,-0.9985
Calipatria_20210203_383_PrisonConditions_Family.txt,0.172,0.736,0.092,-0.9896
Calipatria_20210203_384_FULL.docx,0.111,0.698,0.191,0.9324
Calipatria_20210203_384_FULL.txt,0.113,0.708,0.18,0.906
Calipatria_20210203_384_FULL_Stress.txt,0.125,0.694,0.181,0.8777
Calipatria_20210203_384_PrisonConditionsStress.txt,0.112,0.709,0.179,0.906
Calipatria_20210204_378_FULL_Infections_PrisonConditions_StressandCoping.txt,0.065,0.787,0.148,0.9872
Calipatria_20210205_387_FULL.txt,0.15,0.705,0.145,0.1646
Calipatria_20210205_387_Infection_Stress.txt,0.191,0.765,0.044,-0.9648
Calipatria_20210205_389a_full.txt,0.076,0.817,0.107,0.851
Calipatria_20210205_389b_full.txt,0.161,0.725,0.115,-0.986
Calipatria_20210205_390_FULL_PrisonConditions_Stress.txt,0.112,0.699,0.189,0.91
Calipatria_20210208_350_Full_Infection_Family.txt,0.122,0.668,0.211,0.9924
Calipatria_20210208_351_ prisonconditions_programs.txt,0.128,0.699,0.172,0.9255
Calipatria_20210208_352_FULL.txt,0.054,0.793,0.153,0.9839
Calipatria_20210210_360_FULL.txt,0.079,0.702,0.219,0.9996
Calipatria_20210210_360_InfectionPrisonConditonsStress.txt,0.107,0.744,0.149,0.9505
Calipatria_20210211_445_FULL.txt,0.097,0.798,0.105,0.5676
Calipatria_20210211_445_FULL_Infections_Programs_PrisonConditions.txt,0.091,0.82,0.089,-0.5734
Calipatria_20210211_445_Infections_Programs.txt,0.103,0.75,0.147,0.8751
Calipatria_20210211_445_PrisonConditions.txt,0.089,0.871,0.04,-0.9633
Calipatria_20210212_436_Full.txt,0.074,0.804,0.122,0.9839
Calipatria_20210212_436_Stress_Family_PrisonConditions.txt,0.102,0.842,0.056,-0.7797
