Week Number,Facility Name,Type,Level,Total Count,Facility Count,Facility Flair Mean ,Facility Flair 25%,Facility Flair 75%,Facility Flair Max,Facility Flair Min
55,SanQuentin,Prison,State,14,1,-0.886690974235535,-0.886690974235535,-0.886690974235535,-0.886690974235535,-0.886690974235535
43,Lancaster,Prison,State,4,1,-0.999620914459228,-0.999620914459228,-0.999620914459228,-0.999620914459228,-0.999620914459228
45,Lancaster,Prison,State,12,1,-0.999884605407715,-0.999884605407715,-0.999884605407715,-0.999884605407715,-0.999884605407715
48,Lancaster,Prison,State,13,1,-0.999971985816956,-0.999971985816956,-0.999971985816956,-0.999971985816956,-0.999971985816956
49,Lancaster,Prison,State,23,1,-0.999982237815857,-0.999982237815857,-0.999982237815857,-0.999982237815857,-0.999982237815857
63,Lancaster,Prison,State,24,1,-0.999988198280334,-0.999988198280334,-0.999988198280334,-0.999988198280334,-0.999988198280334
43,Avenal,Prison,State,4,1,-0.999850869178772,-0.999850869178772,-0.999850869178772,-0.999850869178772,-0.999850869178772
44,Avenal,Prison,State,12,3,-0.998420337835948,-0.999919950962067,-0.9976438581943520,-0.99542111158371,-0.999973297119141
45,Avenal,Prison,State,12,3,-0.999902347723643,-0.999964714050293,-0.9998575150966640,-0.999777615070343,-0.9999920129776
63,Avenal,Prison,State,24,1,-0.999927520751953,-0.999927520751953,-0.999927520751953,-0.999927520751953,-0.999927520751953
72,Avenal,Prison,State,8,1,-0.999964118003845,-0.999964118003845,-0.999964118003845,-0.999964118003845,-0.999964118003845
89,Avenal,Prison,State,77,3,-0.9834275245666500,-0.9999628067016600,-0.9751467108726500,-0.950356960296631,-0.999989151954651
44,Norco,Prison,State,12,1,-0.999939203262329,-0.999939203262329,-0.999939203262329,-0.999939203262329,-0.999939203262329
55,Norco,Prison,State,14,1,-0.876936793327332,-0.876936793327332,-0.876936793327332,-0.876936793327332,-0.876936793327332
57,Norco,Prison,State,11,1,-0.998256623744965,-0.998256623744965,-0.998256623744965,-0.998256623744965,-0.998256623744965
59,Norco,Prison,State,11,1,-0.999991297721863,-0.999991297721863,-0.999991297721863,-0.999991297721863,-0.999991297721863
65,Norco,Prison,State,11,1,-0.999686479568481,-0.999686479568481,-0.999686479568481,-0.999686479568481,-0.999686479568481
86,Norco,Prison,State,5,1,-0.998428225517273,-0.998428225517273,-0.998428225517273,-0.998428225517273,-0.998428225517273
44,Corcoran,Prison,State,12,1,-0.99989664554596,-0.99989664554596,-0.99989664554596,-0.99989664554596,-0.99989664554596
51,Corcoran,Prison,State,15,1,-0.996333360671997,-0.996333360671997,-0.996333360671997,-0.996333360671997,-0.996333360671997
52,Corcoran,Prison,State,18,1,-0.999955654144287,-0.999955654144287,-0.999955654144287,-0.999955654144287,-0.999955654144287
68,Corcoran,Prison,State,51,1,-0.999769151210785,-0.999769151210785,-0.999769151210785,-0.999769151210785,-0.999769151210785
69,Corcoran,Prison,State,58,1,-0.998787581920624,-0.998787581920624,-0.998787581920624,-0.998787581920624,-0.998787581920624
72,Corcoran,Prison,State,8,1,-0.999972105026245,-0.999972105026245,-0.999972105026245,-0.999972105026245,-0.999972105026245
86,Corcoran,Prison,State,5,1,-0.999952673912049,-0.999952673912049,-0.999952673912049,-0.999952673912049,-0.999952673912049
44,Chuckawalla,Prison,State,12,5,-0.9997005701065060,-0.999885082244873,-0.999629616737366,-0.999269068241119,-0.999944448471069
45,Chuckawalla,Prison,State,12,2,-0.999798059463501,-0.9998107850551610,-0.9997853338718410,-0.999772608280182,-0.99982351064682
46,Chuckawalla,Prison,State,3,1,-0.999967217445374,-0.999967217445374,-0.999967217445374,-0.999967217445374,-0.999967217445374
