Filename,Date,Sentiment Numeric,FlairSentiment,FlairPolarity,NLTK_Negative,NLTK_Neutral,NLTK_Positive,NLTK_Compound,Facility Name,Name in Prison,County,Population,Level,Type,Tags,Week Number,Start Date,End Date,case number,case rate,death number,death rate,Persent Occupied
Donovan_20201004_05_00_FULL,2020-10-04,0,NEGATIVE,-0.999787867069244,0.066,0.826,0.108,0.9895,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,[''],39,2020-09-28,2020-10-04,0.0,0.0,0.0,0.0,110.0
Donovan_20201130_06_49_FULL,2020-11-30,0,NEGATIVE,-0.99993884563446,0.058,0.775,0.167,0.9994,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,[''],48,2020-11-30,2020-12-06,198.0,0.0601640838650866,0.0,0.0,110.0
Donovan_20201201_05_00_FULL,2020-12-01,0,NEGATIVE,-0.999338805675507,0.047,0.827,0.126,0.9991,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,[''],48,2020-11-30,2020-12-06,198.0,0.0601640838650866,0.0,0.0,110.0
Donovan_20210104_603_PrisonConditions,2021-01-04,0,NEGATIVE,-0.999951720237732,0.093,0.876,0.031,-0.9855,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,['Prison Conditions'],53,2021-01-04,2021-01-10,52.0,0.015800668489820700,4.0,0.001215436037678520,110.0
Donovan_20210107_227_Full,2021-01-07,0,NEGATIVE,-0.995298445224762,0.154,0.754,0.092,-0.9971,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,[''],53,2021-01-04,2021-01-10,52.0,0.015800668489820700,4.0,0.001215436037678520,110.0
Donovan_20210107_01_16_FULL,2021-01-07,0,NEGATIVE,-0.999979257583618,0.117,0.839,0.044,-0.9973,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,[''],53,2021-01-04,2021-01-10,52.0,0.015800668489820700,4.0,0.001215436037678520,110.0
Donovan_20210111_01_05_Infection,2021-01-11,0,NEGATIVE,-0.978812396526337,0.145,0.767,0.088,-0.9307,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,['Infection'],54,2021-01-11,2021-01-17,5.0,0.0015192950470981500,1.0,0.00030385900941962900,110.0
Donovan_20210115_245_FULL,2021-01-15,0,NEGATIVE,-0.999995350837708,0.043,0.92,0.037,0.2233,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,[''],54,2021-01-11,2021-01-17,5.0,0.0015192950470981500,1.0,0.00030385900941962900,110.0
Donovan_20210319_645_FULL,2021-03-19,1,POSITIVE,0.723313868045807,0.057,0.88,0.063,-0.8545,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,[''],63,2021-03-15,2021-03-21,0.0,0.0,0.0,0.0,110.0
Donovan_20210330_591_FULL_Stress,2021-03-30,0,NEGATIVE,-0.999533653259277,0.063,0.666,0.271,0.9926,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,['Stress'],65,2021-03-29,2021-04-04,0.0,0.0,0.0,0.0,110.0
