word,positive_count,negative_count,part_of_speech
lack,15,149,NN
sad,26,148,NN
mother,30,148,NN
provide,15,147,NN
hearing,23,147,NN
hell,15,147,NN
walls,29,146,NNS
became,20,146,VBD
nurse,14,145,NN
mom,25,145,NN
attention,20,145,NN
isnt,20,145,NN
etc,22,145,NN
calling,14,145,VBG
changed,20,145,VBN
stuck,22,144,NN
environment,17,144,NN
letters,25,143,NNS
worked,17,143,VBN
movement,15,142,NN
excuse,21,142,NN
breathing,4,142,NN
fight,22,142,NN
turn,16,142,NN
worry,18,142,NN
streets,18,142,NNS
letting,15,142,VBG
needs,23,141,NNS
gone,19,141,VBN
protect,23,140,NN
appreciate,37,140,NN
friend,38,140,NN
house,16,140,NN
offered,11,140,VBN
treated,15,140,VBN
cut,14,139,NN
opportunity,36,139,NN
kids,21,139,NNS
sitting,11,139,VBG
reading,39,138,NN
period,15,137,NN
remember,26,137,VB
happens,17,136,NNS
support,36,136,NN
taste,13,136,NN
medication,8,136,NN
dayroom,12,136,NN
says,13,136,VBZ
bed,14,135,NN
transferred,10,135,VBN
allowing,10,135,VBG
dorms,3,134,NNS
proper,6,134,NN
department,10,134,NN
parole,21,134,NN
denied,8,134,VBD
catching,15,134,VBG
gym,10,133,NN
fever,16,132,NN
supplies,10,131,NNS
everyday,31,131,NN
property,10,130,NN
education,16,130,NN
word,20,130,NN
bless,51,129,NN
ways,25,128,NNS
guards,17,127,NNS
youve,8,127,NN
touch,18,127,NN
cool,20,127,NN
knows,22,127,NNS
majority,9,127,NN
arent,10,126,NN
facilities,10,126,NNS
age,26,126,NN
contracted,9,126,VBN
vaccines,15,125,NNS
units,10,125,NNS
reach,27,125,NN
line,24,125,NN
smell,15,125,NN
disease,14,125,NN
turned,19,125,VBD
shit,4,124,NN
cope,23,124,NN
group,15,123,NN
minute,6,123,NN
custody,8,123,NN
rough,10,123,NN
cdc,10,123,NN
sleep,13,122,NN
canteen,14,122,NN
saw,21,122,NN
spreading,15,122,VBG
bunk,7,121,NN
words,41,120,NNS
refused,21,120,VBD
meals,15,119,NNS
effects,18,119,NNS
bunch,4,119,NN
response,14,119,NN
follow,11,119,VB
vaccination,17,118,NN
pain,24,118,NN
flu,15,118,NN
sucks,12,118,NNS
form,17,118,NN
known,17,118,VBN
honest,20,117,NN
kitchen,11,117,NN
feels,20,116,NNS
shes,14,116,NNS
amount,10,116,NN
reduced,25,116,VBN
deaths,11,115,NNS
checks,7,114,NNS
trouble,22,114,NN
wants,13,114,VBZ
administration,6,113,NN
mine,24,113,NN
lock,11,113,NN
numbers,10,113,NNS
helps,26,113,NNS
block,11,113,NN
suffering,15,113,VBG
vitals,7,112,NNS
fine,16,111,NN
starting,15,111,VBG
wash,24,110,NN
rules,22,110,NNS
doctors,6,110,NNS
areas,7,109,NNS
lets,15,108,NNS
front,14,108,NN
anxiety,13,107,NN
moment,35,107,NN
receiving,19,106,VBG
truth,18,105,NN
community,28,105,NN
imagine,23,105,NN
spent,18,105,NN
return,13,105,NN
provided,12,105,VBN
lose,8,105,VB
breathe,6,104,NN
aint,14,104,NN
alright,5,104,NN
uci,36,104,NN
prisoner,13,104,NN
closed,10,104,VBD
watching,15,104,VBG
afraid,20,103,NN
soap,3,103,NN
pressure,7,103,NN
books,15,103,NNS
including,18,103,VBG
programming,14,103,VBG
helping,25,103,VBG
explain,11,102,NN
walking,6,102,VBG
anyways,14,101,NNS
kinda,9,101,NN
towards,17,101,NNS
thanks,31,101,NNS
following,8,101,VBG
concerns,13,100,NNS
thoughts,30,100,NNS
gotta,10,100,VBD
act,12,99,NN
wife,17,99,NN
vaccinations,22,99,NNS
sending,17,99,VBG
middle,11,98,NN
center,12,98,NN
situations,14,98,NNS
pack,4,98,NN
ok,22,97,NN
hall,11,97,NN
exercise,17,97,NN
member,12,97,NN
board,14,97,NN
floor,11,97,NN
result,11,97,NN
b,9,97,NN
quick,8,97,NN
refuse,8,97,NN
basis,15,96,NN
