Facility Name,Week_Number,Positive_Count,Negative_Count,Overall Count,Jail Count,Overall Positive Ratio,Overall Negative Ratio,Jail Positive Ratio,Jail Negative Ratio,Type,positive_ratio,negative_ratio
LosAngeles_Metropolitan,89,0,4,77,4,0,0.051948052,0,1,Jail,0.142857143,7.571428571
Merced_Latorraca,89,0,9,77,9,0,0.116883117,0,1,Jail,0.142857143,7.571428571
Merced_Latorraca ,89,0,9,77,9,0,0.116883117,0,1,Jail,0.142857143,7.571428571
Merced_Main,89,0,27,77,27,0,0.350649351,0,1,Jail,0.142857143,7.571428571
SanJoaquin_Main,89,1,0,77,1,0.012987013,0,1,0,Jail,0.142857143,7.571428571
Orange_Central,72,0,1,8,1,0,0.125,0,1,Jail,0,1
Butte_Main,105,0,2,15,2,0,0.133333333,0,1,Jail,0,5
Merced_Main,105,0,9,15,9,0,0.6,0,1,Jail,0,5
Ventura_Main,105,0,4,15,4,0,0.266666667,0,1,Jail,0,5
Orange_Central,68,0,4,51,4,0,0.078431373,0,1,Jail,0.5,7
Orange_TheoLacy,68,1,10,51,11,0.019607843,0.196078431,0.090909091,0.909090909,Jail,0.5,7
Sonoma_Main,47,0,1,10,1,0,0.1,0,1,Jail,0,1
Orange_Central,69,0,1,58,1,0,0.017241379,0,1,Jail,0,2.5
Orange_TheoLacy,69,0,4,58,4,0,0.068965517,0,1,Jail,0,2.5
Riverside_Benoit,74,0,36,181,36,0,0.198895028,0,1,Jail,0,45
Riverside_Byrd,74,0,36,181,36,0,0.198895028,0,1,Jail,0,45
Riverside_Presley,74,0,72,181,72,0,0.397790055,0,1,Jail,0,45
Riverside_Smith,74,0,36,181,36,0,0.198895028,0,1,Jail,0,45
Riverside_Blythe,75,0,36,147,36,0,0.244897959,0,1,Jail,0,72
Riverside_Smith,75,0,108,147,108,0,0.734693878,0,1,Jail,0,72
Riverside_Smith,76,0,108,110,108,0,0.981818182,0,1,Jail,0,108
Orange_Central,67,1,2,12,3,0.083333333,0.166666667,0.333333333,0.666666667,Jail,0.5,3
Orange_TheoLacy,67,0,4,12,4,0,0.333333333,0,1,Jail,0.5,3
Orange_Central,71,0,1,6,1,0,0.166666667,0,1,Jail,0,1
Fresno_Main,86,0,2,5,2,0,0.4,0,1,Jail,0,1.5
Kings_Main,86,0,1,5,1,0,0.2,0,1,Jail,0,1.5
FireCamps,85,0,1,2,1,0,0.5,0,1,Jail,0,1
Fresno_Main,88,0,2,58,2,0,0.034482759,0,1,Jail,0.8,5.2
LosAngeles_Metropolitan,88,4,0,58,4,0.068965517,0,1,0,Jail,0.8,5.2
Merced_Latorraca,88,0,18,58,18,0,0.310344828,0,1,Jail,0.8,5.2
SanJoaquin_Main,88,0,5,58,5,0,0.086206897,0,1,Jail,0.8,5.2
Tulare_BobWiley,88,0,1,58,1,0,0.017241379,0,1,Jail,0.8,5.2
Fresno_Main,90,0,1,14,1,0,0.071428571,0,1,Jail,0,5
Merced_Main,90,0,9,14,9,0,0.642857143,0,1,Jail,0,5
Fresno_Main,92,0,1,24,1,0,0.041666667,0,1,Jail,0,4.6
LosAngeles_MensCentral,92,0,1,24,1,0,0.041666667,0,1,Jail,0,4.6
LosAngeles_TwinTowers,92,0,8,24,8,0,0.333333333,0,1,Jail,0,4.6
Merced_Main,92,0,9,24,9,0,0.375,0,1,Jail,0,4.6
SanBernardino_Central,92,0,4,24,4,0,0.166666667,0,1,Jail,0,4.6
Yuba,84,0,1,5,1,0,0.2,0,1,Jail,0,1
LosAngeles_MensCentral,91,0,2,2,2,0,1,0,1,Jail,0,2
SantaClara_Elmwood,110,0,4,6,4,0,0.666666667,0,1,Jail,0,4
Riverside_unspecified,77,0,36,36,36,0,1,0,1,Jail,0,36
SanBernadino_WestValley,93,0,4,4,4,0,1,0,1,Jail,0,4
SantaClara_Elmwood,100,0,8,13,8,0,0.615384615,0,1,Jail,0,4.333333333
Ventura_Todd,100,0,4,13,4,0,0.307692308,0,1,Jail,0,4.333333333
Yuba,100,0,1,13,1,0,0.076923077,0,1,Jail,0,4.333333333
SantaClara_Elmwood,103,0,4,12,4,0,0.333333333,0,1,Jail,0,4
SantaClara_Main,103,0,4,12,4,0,0.333333333,0,1,Jail,0,4
Ventura_Main,103,0,4,12,4,0,0.333333333,0,1,Jail,0,4
Tulare_BobWiley,113,0,1,1,1,0,1,0,1,Jail,0,1
Tulare_Main,104,0,4,5,4,0,0.8,0,1,Jail,0,4
Ventura_Main,102,0,4,4,4,0,1,0,1,Jail,0,4
Yuba,94,0,1,1,1,0,1,0,1,Jail,0,1
