Date,InstitutionName,Latitude,Longitude,TotalConfirmed,TotalDeaths,DistinctPatientsTested,NewInTheLast14Days
12/28/2022,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,3776,1,711,211
12/28/2022,Correctional Training Facility (CTF),36.411760000000001,-121.32617,3577,21,25,0
12/28/2022,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,2799,9,23,1
12/28/2022,Deuel Vocational Institution (DVI),37.728417,-121.42399,545,0,0,0
12/28/2022,Folsom State Prison (FSP),38.672127000000003,-121.15783,2907,2,66,9
12/28/2022,High Desert State Prison (HDSP),40.474950999999997,-120.67685,2299,2,98,14
12/28/2022,Ironwood State Prison (ISP),33.598689999999998,-114.652517,3151,1,116,11
12/28/2022,Kern Valley State Prison (KVSP),35.771875999999999,-119.26984,1450,7,73,91
12/28/2022,California State Prison-Los Angeles County (LAC),34.728856999999998,-118.32683,2309,15,191,42
12/28/2022,Mule Creek State Prison (MCSP),38.346131999999997,-120.94516,3354,9,71,32
12/28/2022,North Kern State Prison (NKSP),35.774966999999997,-119.23371,4261,6,380,134
12/28/2022,Pelican Bay State Prison (PBSP),41.782680999999997,-124.16703,920,0,62,5
12/28/2022,Pleasant Valley State Prison (PVSP),36.194735999999999,-120.30865,2771,3,215,12
12/28/2022,Richard J. Donovan Correctional Facility (RJD),32.572602000000003,-116.918724,1746,21,217,5
12/28/2022,California State Prison-Sacramento (SAC),38.694032999999997,-121.152413,1001,2,99,9
12/28/2022,Substance Abuse Treatment Facility (SATF),36.177360999999998,-119.82042,4831,8,252,3
12/28/2022,Sierra Conservation Center (SCC),37.867243000000002,-120.49157,3383,0,179,38
12/28/2022,California State Prison-Solano (SOL),38.344009999999997,-121.95333,2071,7,155,21
12/28/2022,San Quentin State Prison (SQ),37.943365,-122.49029,3240,28,51,3
12/28/2022,Salinas Valley State Prison (SVSP),36.518179000000003,-121.42557,1283,6,203,9
12/28/2022,Valley State Prison (VSP),37.127524999999999,-120.50574,2251,2,22,1
12/28/2022,Wasco State Prison (WSP),35.605044999999997,-119.37143,5230,2,451,134
12/27/2022,Avenal State Prison (ASP),35.930765999999998,-120.10057,4342,8,107,4
12/27/2022,California City Correctional Facility (CAC),35.139327000000002,-117.91473,1831,2,33,3
12/27/2022,Calipatria State Prison (CAL),33.131763999999997,-115.51208,1482,3,124,1
12/27/2022,California Correctional Center (CCC),40.446063000000002,-120.664132,2598,0,0,0
12/27/2022,California Correctional Institution (CCI),35.132672999999997,-118.50781,1820,4,60,3
12/27/2022,Central California Women's Facility (CCWF),37.100417,-120.27864,2382,1,121,65
12/27/2022,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,1190,1,225,4
12/27/2022,California Health Care Facility (CHCF),37.955474000000002,-121.19064,1906,23,361,34
12/27/2022,California Institution for Men (CIM),34.015962999999999,-117.68737,3885,30,84,27
12/27/2022,California Institution for Women (CIW),33.903803000000003,-117.60221,1061,1,46,7
12/27/2022,California Men's Colony (CMC),35.221085000000002,-120.636399,3717,13,159,12
12/27/2022,California Medical Facility (CMF),38.348959999999998,-121.908324,1978,13,202,32
12/27/2022,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,2610,9,121,21
12/27/2022,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,3753,1,832,191
12/27/2022,Correctional Training Facility (CTF),36.411760000000001,-121.32617,3577,21,128,1
12/27/2022,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,2799,9,42,1
12/27/2022,Deuel Vocational Institution (DVI),37.728417,-121.42399,545,0,0,0
12/27/2022,Folsom State Prison (FSP),38.672127000000003,-121.15783,2907,2,175,18
12/27/2022,High Desert State Prison (HDSP),40.474950999999997,-120.67685,2298,2,104,13
12/27/2022,Ironwood State Prison (ISP),33.598689999999998,-114.652517,3150,1,180,11
12/27/2022,Kern Valley State Prison (KVSP),35.771875999999999,-119.26984,1440,7,163,90
12/27/2022,California State Prison-Los Angeles County (LAC),34.728856999999998,-118.32683,2308,15,91,42
12/27/2022,Mule Creek State Prison (MCSP),38.346131999999997,-120.94516,3348,9,103,29
12/27/2022,North Kern State Prison (NKSP),35.774966999999997,-119.23371,4244,6,468,151
12/27/2022,Pelican Bay State Prison (PBSP),41.782680999999997,-124.16703,918,0,38,3
