Filename,Sentiment,Polarity,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment
Calipatria_20210316_553_FULL_Infection_Programs_PrisonConditions,NEGATIVE,0.0294929146766663,0.092,0.724,0.184,0.9663
Calipatria_20210323_644_Full.docx,NEGATIVE,0.0003924965858459,0.186,0.74,0.074,-0.9994
Calipatria_20210323_644_Full,NEGATIVE,0.000640332698822,0.179,0.747,0.074,-0.9993
Calipatria_20210323_644_PrisonConditions,NEGATIVE,0.0009430050849915,0.202,0.732,0.066,-0.9986
Calipatria_20210329_598_FULL,NEGATIVE,0.0017999410629272,0.102,0.743,0.155,0.9939
Calipatria_20210329_598_PrisonConditions,NEGATIVE,1.7166137695201478e-05,0.113,0.749,0.138,0.9661
Calipatria_20210401_605.docx,NEGATIVE,0.0036648511886595,0.073,0.813,0.114,0.99
Calipatria_20210401_605_Full,NEGATIVE,0.0003581047058104,0.073,0.812,0.114,0.99
Calipatria_20210401_605_Infection_PrisonConditions,NEGATIVE,6.496906280517578e-05,0.077,0.81,0.113,0.9376
Calipatria_20210401_605_PrisonConditions,NEGATIVE,0.0006767511367797,0.061,0.894,0.045,-0.6863
Calipatria_20210406_964_Family_Stress,NEGATIVE,8.583068847545228e-06,0.196,0.659,0.145,-0.9553
Calipatria_20210406_964_FULL,NEGATIVE,3.576278686412415e-06,0.116,0.729,0.156,0.9805
Calipatria_20210406_964_Stress_PrisonConditions,NEGATIVE,2.9802322387695312e-06,0.017,0.789,0.194,0.9928
Calipatria_20210503_1130_Family,NEGATIVE,5.245208740234375e-06,0.059,0.776,0.165,0.9968
Calipatria_20210503_1130_FULL,NEGATIVE,5.245208740234375e-06,0.059,0.776,0.165,0.9968
Calipatria_20210503_1130_prison Conditions,NEGATIVE,1.4185905456431946e-05,0.086,0.815,0.099,0.7389
Calipatria_20210503_1130_Stress,POSITIVE,0.8642805218696594,0.031,0.744,0.225,0.9947
Calipatria_20210629_1477_Family,NEGATIVE,0.0572382807731628,0.039,0.733,0.228,0.9947
Calipatria_20210629_1477_FULL,NEGATIVE,0.0034654140472412,0.028,0.734,0.238,0.9979
Calipatria_20210712_1492_FULL,NEGATIVE,0.0005100965499877,0.053,0.725,0.222,0.9884
Centinela_20201123_070_FULL,NEGATIVE,2.646446228038446e-05,0.076,0.865,0.059,-0.9006
Centinela_20201204_82_PrisonConditions,NEGATIVE,3.337860107421875e-06,0.154,0.769,0.077,-0.9949
Centinela_20210121_05_38_Family,NEGATIVE,0.3413466215133667,0.105,0.776,0.12,0.7596
Centinela_20210121_05_38_FULL,NEGATIVE,0.0013689398765563,0.085,0.729,0.187,0.9988
Centinela_20210121_05_38_Infection,NEGATIVE,0.0004951953887939,0.018,0.836,0.145,0.9883
Centinela_20210121_05_38_Prison Conditions,NEGATIVE,3.743171691894531e-05,0.116,0.722,0.162,0.8925
Centinela_20210223_452_Full,NEGATIVE,0.021906077861786,0.107,0.725,0.167,0.9957
Centinela_20210223_452_PrisonConditions_Infection,NEGATIVE,2.110004425037726e-05,0.101,0.784,0.115,0.2666
Centinela_20210223_452_Programs_Family,NEGATIVE,1.2278556823619446e-05,0.076,0.762,0.161,0.9876
Centinela_20210331_615_FULL,NEGATIVE,0.0018137097358703,0.055,0.783,0.163,0.9986
Centinela_20210331_615_Infection_Stress,NEGATIVE,0.1342872381210327,0.061,0.734,0.205,0.995
Centinela_20210331_615_Programs,NEGATIVE,1.3589859008789062e-05,0.028,0.926,0.046,0.7372
Centinela_20210412_57555_FULL,NEGATIVE,0.0001490116119383,0.031,0.846,0.123,0.9995
Centinela_20210412_57555_PrisonConditions,NEGATIVE,0.0079719424247741,0.03,0.892,0.078,0.8922
Centinela_20210412_57555_Programs,NEGATIVE,6.020069122314453e-05,0.028,0.897,0.075,0.9552
Centinela_20210412_57555_Programs2,NEGATIVE,0.0042874813079833,0.049,0.761,0.19,0.9954
