Filename,NegVaderPosFlair,PosVaderNegFlair,MatchingVaderFlair
Calipatria_20210208_350_Full_Infection_Family.txt,False,False,False
Calipatria_20210208_351_ prisonconditions_programs.txt,False,False,False
Calipatria_20210208_352_FULL.txt,False,True,True
Calipatria_20210210_360_FULL.txt,False,False,False
Calipatria_20210210_360_InfectionPrisonConditonsStress.txt,False,False,False
Calipatria_20210211_445_FULL.txt,False,False,False
Calipatria_20210211_445_FULL_Infections_Programs_PrisonConditions.txt,True,False,True
Calipatria_20210211_445_Infections_Programs.txt,False,False,False
Calipatria_20210211_445_PrisonConditions.txt,True,False,True
Calipatria_20210212_436_Full.txt,False,False,False
Calipatria_20210212_436_Stress_Family_PrisonConditions.txt,True,False,True
Calipatria_20210212_437_FULL.txt,False,False,False
Calipatria_20210212_437_Stress.txt,False,True,True
Calipatria_20210216_418_FULL_Programms_Infection.txt,False,False,False
Calipatria_20210217_07_39_Family.txt,False,False,False
Calipatria_20210217_07_39_full.txt,False,False,False
Calipatria_20210217_07_39_Infection.txt,False,False,False
Calipatria_20210217_07_39_PrisonConditions.txt,False,False,False
Calipatria_20210217_07_39_PrisonConditions2.txt,False,False,False
Calipatria_20210222_3_32_FULL_PrisonConditions.txt,False,False,False
Calipatria_20210222_458_FULL_Infection_PrisonConditions.txt,False,False,False
Calipatria_20210222_487a_FULL_Family_Programs_PrisonConditions.txt,False,False,False
Calipatria_20210304_528_FULL_Infection_PrisonConditions.txt,True,False,True
Calipatria_20210304_533_FULL.txt,False,False,False
Calipatria_20210312_658_Full.txt,False,False,False
Calipatria_20210312_658_ProgramsPrisonConditions.txt,False,False,False
Calipatria_20210316_552_FULL.txt,False,False,False
Calipatria_20210316_552_PrisonConditions_Programs.txt,False,True,True
Calipatria_20210316_553_FULL_Infection_Programs_PrisonConditions.txt,False,False,False
Calipatria_20210323_644_Full.docx,True,False,True
Calipatria_20210323_644_Full.txt,True,False,True
Calipatria_20210323_644_PrisonConditions.txt,True,False,True
Calipatria_20210329_598_FULL.txt,False,False,False
Calipatria_20210329_598_PrisonConditions.txt,False,False,False
Calipatria_20210401_605.docx,False,False,False
Calipatria_20210401_605_Full.txt,False,False,False
Calipatria_20210401_605_Infection_PrisonConditions.txt,False,False,False
Calipatria_20210401_605_PrisonConditions.txt,True,False,True
Calipatria_20210406_964_Family_Stress.txt,True,False,True
Calipatria_20210406_964_FULL.txt,False,False,False
Calipatria_20210406_964_Stress_PrisonConditions.txt,False,False,False
Calipatria_20210503_1130_Family.txt,False,False,False
Calipatria_20210503_1130_FULL.txt,False,False,False
Calipatria_20210503_1130_prison Conditions.txt,False,False,False
Calipatria_20210503_1130_Stress.txt,False,True,True
Calipatria_20210629_1477_Family.txt,False,False,False
