Filename,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment,Tag
HighDesert_20210129_300_PrisonConditions_Stress.txt,0.198,0.609,0.193,-0.6584,Neutral Sentiment Outlier
HighDesert_20210129_377_Family.txt,0.068,0.618,0.314,0.9943,Neutral Sentiment Outlier
HighDesert_20210201_368_Stress.txt,0.226,0.586,0.188,-0.9353,Neutral Sentiment Outlier
HighDesert_20210221_505_FULL_Infection_Family.txt,0.078,0.629,0.293,0.9968,Neutral Sentiment Outlier
Ironwood_20210125_311_Programs_Family.txt,0.221,0.625,0.154,-0.8687,Neutral Sentiment Outlier
read info.txt,0.005,0.995,0.0,-0.4717,Neutral Sentiment Outlier
SanJoaquin_Main_20210906_26426_PrisonConditions2_Stress2_Infection.txt,0.446,0.471,0.084,-0.9998,Neutral Sentiment Outlier
Valleystate_20210322_627_StressInfection.txt,0.213,0.629,0.158,-0.9823,Neutral Sentiment Outlier
ValleyState_20210330_587_FULL.txt,0.169,0.614,0.218,0.8296,Neutral Sentiment Outlier
ValleyState_20210330_587_PrisonConditionsInfection.txt,0.169,0.614,0.218,0.8296,Neutral Sentiment Outlier
Ventura_Main_20211109_47163_PrisonConditions.txt,0.02,0.632,0.347,0.9995,Neutral Sentiment Outlier
Ventura_Main_20211215_87702_FULL_PrisonConditions_Infection.txt,0.014,0.966,0.02,0.5994,Neutral Sentiment Outlier
Calipatria_20210124_314_FULL.txt,0.097,0.651,0.252,0.9987,Positive Sentiment Outlier
Chino_20200828_136_FULL.txt,0.066,0.677,0.257,0.9966,Positive Sentiment Outlier
Chino_20220204_43800_Infection_Family_Featured.txt,0.044,0.695,0.261,0.9995,Positive Sentiment Outlier
Chino_20220204_68596_PrisonConditions.txt,0.022,0.707,0.271,0.9975,Positive Sentiment Outlier
Chowchilla_20201208_117_full.txt,0.051,0.604,0.345,0.9843,Positive Sentiment Outlier
Chowchilla_20201208_117_Infection.txt,0.033,0.635,0.331,0.9623,Positive Sentiment Outlier
CMC_20210222_454_FULL_Infection.txt,0.064,0.661,0.275,0.9975,Positive Sentiment Outlier
CSATF_20210122_328_Full.txt,0.043,0.685,0.272,0.9984,Positive Sentiment Outlier
CSATF_20210122_328_Stress.txt,0.016,0.718,0.266,0.9898,Positive Sentiment Outlier
Donovan_20210330_591_FULL_Stress.txt,0.063,0.666,0.271,0.9926,Positive Sentiment Outlier
Donovan_20210421_907_FULL_Family_PrisonConditions.txt,0.103,0.617,0.28,0.9954,Positive Sentiment Outlier
Donovan_20210503_1101_FULL.txt,0.094,0.608,0.298,0.9997,Positive Sentiment Outlier
Donovan_20210503_1101_Stress_Family.txt,0.112,0.629,0.259,0.9939,Positive Sentiment Outlier
HighDesert_20210129_377_Family.txt,0.068,0.618,0.314,0.9943,Positive Sentiment Outlier
HighDesert_20210221_505_FULL_Infection_Family.txt,0.078,0.629,0.293,0.9968,Positive Sentiment Outlier
HighDesert_20210223_459_FULL_Stress_Infection.txt,0.091,0.656,0.253,0.9933,Positive Sentiment Outlier
Merced_Main_20210920_55348_P2_Stress_PrisonConditions.txt,0.077,0.669,0.254,0.9939,Positive Sentiment Outlier
Norco_20210123_449_Full_Infection_Family.txt,0.062,0.665,0.273,0.9968,Positive Sentiment Outlier
OC_Lacy_20210422_8_32_FULL.txt,0.052,0.674,0.274,0.9986,Positive Sentiment Outlier
OC_Lacy_20210427_6_30_Family.txt,0.045,0.684,0.271,0.9991,Positive Sentiment Outlier
OC_Lacy_20210427_6_30_FULL.txt,0.033,0.708,0.259,1.0,Positive Sentiment Outlier
Orange_TheoLacy_20210430_1003_Stress_PrisonConditions1.txt,0.026,0.672,0.302,0.9996,Positive Sentiment Outlier
PelicanBay_20210420_918_Full.txt,0.072,0.667,0.261,0.9985,Positive Sentiment Outlier
PleasantValley_20210214_429_Programs.txt,0.0,0.705,0.295,0.9862,Positive Sentiment Outlier
PleasantValley_20210317_564_FULL_Stress.txt,0.067,0.676,0.256,0.9964,Positive Sentiment Outlier
Riverside_Blythe_20210607_646_FULL.txt,0.064,0.679,0.256,0.9998,Positive Sentiment Outlier
SanBernardino_Central_20211004_84859_P1_FULL.txt,0.05,0.695,0.256,0.9995,Positive Sentiment Outlier
Soledad_20210416_923_FULL_Stress.txt,0.073,0.645,0.282,0.994,Positive Sentiment Outlier
Tehachapi_20201209_111_coping.txt,0.0,0.687,0.313,0.9286,Positive Sentiment Outlier
Tehachapi_20201211_99_FULL.txt,0.056,0.676,0.268,0.997,Positive Sentiment Outlier
Tehachapi_20201216_169_FULL.txt,0.074,0.673,0.253,0.9919,Positive Sentiment Outlier
Vacaville_20210426_532_FamilyPrisonConditions.txt,0.046,0.7,0.253,0.9995,Positive Sentiment Outlier
ValleyState_20210402_613_FULL_PrisonConditions_Infection.txt,0.021,0.677,0.302,0.9981,Positive Sentiment Outlier
Ventura_Main_20211109_47163_FULL.txt,0.019,0.69,0.29,0.9999,Positive Sentiment Outlier
Ventura_Main_20211109_47163_PrisonConditions.txt,0.02,0.632,0.347,0.9995,Positive Sentiment Outlier
