Story ID (prison_yyyymmdd_topic),Unique ID,On M.I. list?,Reviewed and Cleared,Date R&C,Added to site,Date added,Story Title (max 20 characters),Audio File,Transcript,Date (MM/YY),Prison,Tags,Storyteller,Story Type,"If Segment, Full Story ID",Letter/Call
SanJoaquin_Main_20210907_38166_P1_FULL,38166,,MV,,,,,https://www.dropbox.com/s/2tavv5tjamxewf1/SanJoaquin_Main_20210907_38166_P1_FULL.mp3?dl=0,https://www.dropbox.com/s/grxllqabfv8su99/SanJoaquin_Main_20210907_38166_P1_FULL.txt?dl=0,,San Joaquin County,,,Full,,Call
SanJoaquin_Main_20210907_38166_P2_FULL,38166,,MV,,,,,https://www.dropbox.com/s/ynef9n7irz8gg1o/SanJoaquin_Main_20210907_38166_P2_FULL.mp3?dl=0,https://www.dropbox.com/s/uhw7axd738fhfg5/SanJoaquin_Main_20210907_38166_P2_FULL.txt?dl=0,,San Joaquin County,,,Full,,Call
SanJoaquin_Main_20210907_38166_P2_Infection,,,MV,,,,,https://www.dropbox.com/s/u2c7318rqa4d8j5/SanJoaquin_Main_20210907_38166_P2_Infection.mp3?dl=0,https://www.dropbox.com/s/q36kou5kdystbnx/SanJoaquin_Main_20210907_38166_P2_Infection.txt?dl=0,,San Joaquin County,,,,SanJoaquin_Main_20210907_38166,Call
SanJoaquin_Main_20210907_70339_FULL,70339,,MV,MV,MV,,The full story,https://www.dropbox.com/s/s700yidjjtid6tz/SanJoaquin_Main_20210907_70339_FULL.mp3?dl=0,https://www.dropbox.com/s/0tfzbqwtz6ke038/SanJoaquin_Main_20210907_70339_FULL.txt?dl=0,09/21,San Joaquin County,,Incarcerated Person,Full,,Call
SanJoaquin_Main_20210910_54143_FULL,54143,,MV,,MV,,The full story,https://www.dropbox.com/s/cq40z9i4owstu0t/SanJoaquin_Main_20210910_54143_FULL.mp3?dl=0,https://www.dropbox.com/s/vtn0jphh1czgjss/SanJoaquin_Main_20210910_54143_FULL.txt?dl=0,09/21,San Joaquin County,,Incarcerated Person,Full,,Call
Yuba_20210903_29710_FULL,29710,,MV,,MV,,The full story,https://www.dropbox.com/s/k4t2wve676v8ort/Yuba_20210903_29710_FULL.mp3?dl=0,https://www.dropbox.com/s/6dfkwgsaukb3dq1/Yuba_20210903_29710_FULL.txt?dl=0,09/23,Yuba,,Incarcerated Person,Full,,Call
Yuba_20210811_503_FULL,43109,,MV,,MV,,The full story,https://www.dropbox.com/s/jym4s5mm1pcw5u4/Yuba_20210811_503_FULL.mp3?dl=0,https://www.dropbox.com/s/7yv9eywqx3dmjcs/Yuba_20210811_503_FULL.txt?dl=0,08/23,Yuba,,Incarcerated Person,Full,,Call
SanJoaquin_Main_20210914_84921_Full,84921,,MV,01/06/2022,,,The full story,https://www.dropbox.com/s/alsjwbhlm2fnwzu/SanJoaquin_Main_20210914_84921_Full.mp3?dl=0,https://www.dropbox.com/s/6srlgxjiqhm2pnh/SanJoaquin_Main_20210914_84921_Full.txt?dl=0,09/23,San Joaquin County,,Incarcerated Person,Full,,Call
Merced_Latorraca_20210910_38691_FULL,38691,,KB/MV,,MV,x,The full story,https://www.dropbox.com/s/50griyrsj1spwto/Merced_Latorraca_20210910_38691_FULL.mp3?dl=0,https://www.dropbox.com/s/xwk3hek8qysetby/Merced_Latorraca_20210910_38691_FULL.txt?dl=0,09/23,Merced County,,Incarcerated Person,Full,,Call
Merced_Latorraca _20210917_24079_FULL,24079,,KB/MV,,MV,x,The full story,https://www.dropbox.com/s/22nkasmpjv8aehl/Merced_Latorraca_20210917_24079_FULL.mp3?dl=0,https://www.dropbox.com/s/pwpidh29h8r1egq/Merced_Latorraca%20_20210917_24079_FULL.txt?dl=0,09/23,Merced County,,Incarcerated Person,Full,,Call
Merced_Latorraca_20210910_81379_FULL,81379,,MV,,MV,x,The full story,https://www.dropbox.com/s/9fuq2wy4q94cp4j/Merced_Latorraca_20210910_81379_FULL.mp3?dl=0,https://www.dropbox.com/s/rbodsxenpbpflnt/Merced_Latorraca_20210910_81379_FULL.txt?dl=0,09/23,Merced County,,Incarcerated Person,Full,,Call
Fresno_Main_20210916_46088_FULL,46088,,KB/MV,,MV,x,The full story,https://www.dropbox.com/s/wbyk7etjd7sd5km/Fresno_Main_20210916_46088_FULL.mp3?dl=0,https://www.dropbox.com/s/d5k5uib0iahod0l/Fresno_Main_20210916_46088_FULL.txt?dl=0,09/23,Fresno County,"Prison Conditions, Stress",Incarcerated Person,Full,,Call
Fresno_Main_20210916_72217_FULL,72217,,KB/MV,,MV,x,The full story,https://www.dropbox.com/s/vescnx26fhue7j4/Fresno_Main_20210916_72217_FULL.mp3?dl=0,https://www.dropbox.com/s/inw7avjhanwp3ym/Fresno_Main_20210916_72217_FULL.txt?dl=0,09/23,Fresno County,,Incarcerated Person,Full,,Call
CaliforniaCity_20210604_821_FULL_Programs_Infection,31475,MV,MV,,MV,,Less programs,https://www.dropbox.com/s/gcfibj3r9nk0bew/CaliforniaCity_20210604_821_FULL.mp3?dl=0,https://www.dropbox.com/s/qsikkqoct1jkjq2/CaliforniaCity_20210604_821_FULL.txt?dl=0,06/23,California City,"Programs, Infection",Incarcerated Person,Full,,Call
Merced_Main_20210920_55348_P1_P2_FULL,55348,,MV,,MV,x,The full story,https://www.dropbox.com/s/5m5z1cs0wzoyy3t/Merced_Main_20210920_55348_FULL.mp3?dl=0,https://www.dropbox.com/s/ur1wy8u3i00phnd/Merced_Main_20210920_55348_P1_FULL.txt?dl=0,09/23,Merced County,,Incarcerated Person,Full,,Call
FireCamps_20210816_715_P1_FULL,73690,,KB,,MV,,The full story,https://www.dropbox.com/s/anzuhug9hi2agwp/FireCamps_20210816_715_P1_FULL.mp3?dl=0,https://www.dropbox.com/s/vpj92mlo1rrfpkb/FireCamps_20210816_715_P1_FULL.txt?dl=0,08/23,Fire Camps,,Incarcerated Person,Full,,Call
Kings_Main_20210827_87009_FULL,87009,,KB,,,,The full story,https://www.dropbox.com/s/zk90b7ji08wi9rp/Kings_Main_20210827_87009_FULL.mp3?dl=0,https://www.dropbox.com/s/hcn8gy2tfgl016n/Kings_Main_20210827_87009_FULL.txt?dl=0,08/23,Kings County,,Incarcerated Person,Full,,Call
Merced_Latorraca_20210917_17611_FULL,17611,,KB/MV,,MV,x,The full story,https://www.dropbox.com/s/jaem66cpa1ev5fa/Merced_Latorraca_20210917_17611_FULL.mp3?dl=0,https://www.dropbox.com/s/y2omdu62hpo9fv6/Merced_Latorraca_20210917_17611_FULL.txt?dl=0,09/23,Merced County,,Incarcerated Person,Full,,Call
Fresno_Main_20210831_43692_FULL,43692,,KB/MV,,MV,x,The full story,https://www.dropbox.com/s/r7arq581jpjgxzf/Fresno_Main_20220517_43692_FULL.mp3?dl=0,https://www.dropbox.com/s/qpvxziujljzk1l2/Fresno_Main_20210831_43692_FULL.txt?dl=0,08/23,Fresno County,,Incarcerated Person,Full,Fresno_Main_20210831_43692,Call
CaliforniaCity_20210609_844_FULL,79509,,MV,,MV,,The full story,https://www.dropbox.com/s/1qymyj8gf8qvy0v/CaliforniaCity_20210609_844_FULL.mp3?dl=0,https://www.dropbox.com/s/d9fdyl3h2bpa2cw/CaliforniaCity_20210609_844_FULL.txt?dl=0,06/23,California City,,Incarcerated Person,Full,,Call
CaliforniaCity_20210617_624_FULL,71148,,MV,,MV,,The full story,https://www.dropbox.com/s/o9hbiiujttnx97a/CaliforniaCity_20210617_624_FULL.mp3?dl=0,https://www.dropbox.com/s/qbnqgcn9h13kkux/CaliforniaCity_20210617_624_FULL.txt?dl=0,06/23,California City,,Incarcerated Person,Full,,Call
Merced_Main_20210914_19036_FULL,19036,,KB/MV,,MV,x,The full story,https://www.dropbox.com/s/ds0xc44jh03kvrs/Merced_Main_20210914_19036_FULL.mp3?dl=0,https://www.dropbox.com/s/lkllnflaidpu06r/Merced_Main_20210914_19036_FULL.txt?dl=0,09/23,Merced County,,Incarcerated Person,Full,,Call
LosAngeles_MensCentral_20211006_22274_FULL,22274,,MV,,MV,x,The full story,https://www.dropbox.com/s/ms55yhl3k9xtqt2/LosAngeles_MensCentral_20211006_22274_FULL.mp3?dl=0,https://www.dropbox.com/s/jpqxrnt7jubpnub/LosAngeles_MensCentral_20211006_22274_FULL.txt?dl=0,10/23,Los Angeles County,,Incarcerated Person,Full,,Call
